tau,alpha,m_value
100,0.8,0.006641853501748685
100,0.8,-0.06396657500652313
100,0.8,0.2377130857407595
100,0.8,0.07023513049220718
100,0.8,0.19863336208453344
100,0.8,-0.02147670752704478
100,0.8,0.05175482804127754
100,0.8,0.13943371027305726
100,0.8,0.3550075057955033
100,0.8,-0.12005854578207603
100,0.8,-0.23875017955365277
100,0.8,0.20724555071305062
100,0.8,-0.05134758292150146
100,0.8,0.01737083145202103
100,0.8,-0.05146722474016388
100,0.8,0.15165725236153113
100,0.8,-0.13856540935693076
100,0.8,-0.03862716209988646
100,0.8,-0.09003540980449767
100,0.8,0.24885814250274318
100,0.8,0.2964498492666756
100,0.8,-0.15003540498866752
100,0.8,0.29404055742858887
100,0.8,0.17577287724276563
100,0.8,-0.3115192753015292
100,0.8,-0.011196141105538616
100,0.8,-0.3653835203264688
100,0.8,-0.2540273254440386
100,0.8,0.41135314328682215
100,0.8,0.17645283918954374
100,0.8,-0.04166397913772153
100,0.8,0.1195120626575834
100,0.8,0.018822318306963307
100,0.8,-0.2850369401297738
100,0.8,-0.1918280292374023
100,0.8,0.19006780125961084
100,0.8,-0.334699884827115
100,0.8,-0.059465520962702814
100,0.8,0.18959050654619977
100,0.8,0.008914576556494325
100,0.8,0.2305848678433069
100,0.8,-0.29671362584218713
100,0.8,0.28377285750098763
100,0.8,0.020897163010667977
100,0.8,-0.18479975591541545
100,0.8,-0.001150101648358337
100,0.8,0.3023868500155077
100,0.8,-0.25694821774010085
100,0.8,-0.027416384273953032
100,0.8,0.2995667123193137
100,0.8,0.21339798100592786
100,0.8,0.08180594830624006
100,0.8,0.271865805908498
100,0.8,0.3763671963095222
100,0.8,0.3120595700970242
100,0.8,-0.13813268105283535
100,0.8,0.15910995209040896
100,0.8,0.2569548196688764
100,0.8,0.08414771112946973
100,0.8,0.11921674927985643
100,0.8,-0.10434238490946549
100,0.8,0.41856463949882416
100,0.8,0.09561080060652022
100,0.8,0.1225724905600961
100,0.8,-0.12188468819814187
100,0.8,-0.08757665558605794
100,0.8,0.07593384858330482
100,0.8,0.1448153472299337
100,0.8,0.060236992380735724
100,0.8,0.016693917132273663
100,0.8,0.18491105679865055
100,0.8,0.16173183896177523
100,0.8,0.1445942022643706
100,0.8,0.02005132880418934
100,0.8,0.06981348552524498
100,0.8,0.3021481637471881
100,0.8,0.17423615625600758
100,0.8,0.20859133910749642
100,0.8,-0.16233383571812735
100,0.8,-0.283839395009994
100,0.8,-0.42960284873203797
100,0.8,0.1977965716700318
100,0.8,0.13237160404574802
100,0.8,0.029085159524851002
100,0.8,-0.26878124416450566
100,0.8,-0.22766000085185623
100,0.8,0.34127133765133827
100,0.8,0.2512797142792444
100,0.8,0.12645146521855857
100,0.8,-0.10078495853672953
100,0.8,0.22151985681615152
100,0.8,0.2882725239327149
100,0.8,0.19513148907390487
100,0.8,-0.3272093895735651
100,0.8,0.20580059491836203
100,0.8,0.294106589347008
100,0.8,0.04550813631958235
100,0.8,0.03953026770514825
100,0.8,0.13946872707126498
100,0.8,0.2323939110018154
100,0.8,0.03740909097628915
100,0.8,-0.04148314453022115
100,0.8,0.2474958604670169
100,0.8,0.08134718524641667
100,0.8,0.21200113814993174
100,0.8,-0.05070149007545242
100,0.8,0.0472766963117925
100,0.8,0.14093044690045584
100,0.8,0.2927842977337596
100,0.8,-0.0957036959759705
100,0.8,-0.2610833986157543
100,0.8,0.23046176652496425
100,0.8,-0.07792018545681972
100,0.8,0.01879170640043011
100,0.8,-0.0329181964351549
100,0.8,0.1517531038645805
100,0.8,-0.13680940237532094
100,0.8,-0.020714941294414937
100,0.8,-0.06437559034116047
100,0.8,0.22727907101870032
100,0.8,0.28658640421612136
100,0.8,-0.1480027661008652
100,0.8,0.23644095190710512
100,0.8,0.16075510317366534
100,0.8,-0.2966952739299524
100,0.8,-0.010440363869033666
100,0.8,-0.3765230410022438
100,0.8,-0.2732853882431794
100,0.8,0.4161060522126867
100,0.8,0.20205288819944994
100,0.8,-0.05113859759169497
100,0.8,0.09187696913787811
100,0.8,0.03324868027924843
100,0.8,-0.2873861738405596
100,0.8,-0.19095625492371965
100,0.8,0.20335090757691834
100,0.8,-0.33258883296247777
100,0.8,-0.009538375389155274
100,0.8,0.18547435284789487
100,0.8,0.06640355317843287
100,0.8,0.2124092857299969
100,0.8,-0.25372441053985684
100,0.8,0.3169231999873315
100,0.8,0.05012636589334925
100,0.8,-0.18265168173155708
100,0.8,-0.042989012665645455
100,0.8,0.27481394215717964
100,0.8,-0.16133805909426402
100,0.8,-0.05586426166918806
100,0.8,0.33073151574542425
100,0.8,0.21032399449820025
100,0.8,0.05936983722102003
100,0.8,0.20239039591894398
100,0.8,0.340537751178567
100,0.8,0.2811002388751126
100,0.8,-0.15381868714113242
100,0.8,0.1589916481237543
100,0.8,0.2791007519619358
100,0.8,0.10722856896622696
100,0.8,0.09165826987892133
100,0.8,-0.09760237813014526
100,0.8,0.4389972051728947
100,0.8,0.10103954084961977
100,0.8,0.14257912828004288
100,0.8,-0.10767679318696377
100,0.8,-0.12420255745486078
100,0.8,0.06875065327387518
100,0.8,0.12903271500841493
100,0.8,0.043866657711507884
100,0.8,0.016116118981203974
100,0.8,0.19904238792267198
100,0.8,0.19180037246592774
100,0.8,0.11493575488849839
100,0.8,0.02151291161034692
100,0.8,0.09389745041371961
100,0.8,0.31976584192530827
100,0.8,0.15523174038904594
100,0.8,0.1722447284545206
100,0.8,-0.1785450965494028
100,0.8,-0.27242649904504174
100,0.8,-0.4351841950948485
100,0.8,0.19605303881822886
100,0.8,0.12106836443112955
100,0.8,0.0402886057868642
100,0.8,-0.2748668448477963
100,0.8,-0.22307212569073942
100,0.8,0.35556634266577714
100,0.8,0.2461699240387752
100,0.8,0.14216089284440692
100,0.8,-0.11898315027763334
100,0.8,0.23188066102063232
100,0.8,0.25867886145131946
100,0.8,0.17423690862541968
100,0.8,-0.2951033903415385
100,0.8,0.2595510989010338
100,0.8,0.26688106771450626
100,0.8,0.043923741293233225
100,0.8,0.024832523010833718
100,0.8,0.1541676355128283
100,0.8,0.19735321023084254
100,0.8,0.07125404501575137
100,0.8,-0.02925452442104559
100,0.8,0.23114603036764497
100,0.8,0.12426791567926845
100,0.8,0.21482407310794172
100,0.8,-0.02096273295455733
100,0.8,-0.00939287734364287
100,0.8,0.15057826950156078
100,0.8,0.3011059457053552
100,0.8,-0.05488166514362254
100,0.8,-0.2600809931893472
100,0.8,0.21677881767127227
100,0.8,-0.08053395354404742
100,0.8,-0.014609928492651037
100,0.8,-0.019449087574933
100,0.8,0.1398942411379492
100,0.8,-0.09862449298878771
100,0.8,-0.042676788634846835
100,0.8,-0.07565388384721877
100,0.8,0.20164887573836518
100,0.8,0.282006307376944
100,0.8,-0.1854572093122
100,0.8,0.23713867514376175
100,0.8,0.16978059163677486
100,0.8,-0.3183747098090528
100,0.8,-0.01285160534911416
100,0.8,-0.3765633831916154
100,0.8,-0.2689870818667954
100,0.8,0.3782899032720952
100,0.8,0.20515126591154864
100,0.8,-0.06320180490144134
100,0.8,0.07169664133346192
100,0.8,0.017950229544133122
100,0.8,-0.2546274833186278
100,0.8,-0.237723301876962
100,0.8,0.18768932401031507
100,0.8,-0.28741918238059333
100,0.8,0.05705649888162015
100,0.8,0.19173485911271015
100,0.8,0.08460590983063838
