tau,alpha_target,magnetization
100.0,0.950,0.804063
100.0,0.950,0.877919
100.0,0.950,0.713891
100.0,0.950,0.809272
100.0,0.950,0.775258
100.0,0.950,0.828648
100.0,0.950,0.903598
100.0,0.950,0.820447
100.0,0.950,0.727610
100.0,0.950,0.879539
100.0,0.950,0.788817
100.0,0.950,0.869225
100.0,0.950,0.855461
100.0,0.950,0.706378
100.0,0.950,0.884506
100.0,0.950,0.854425
100.0,0.950,0.791229
100.0,0.950,0.846208
100.0,0.950,0.863485
100.0,0.950,0.865910
100.0,0.950,0.785268
100.0,0.950,0.908939
100.0,0.950,0.677955
100.0,0.950,0.865963
100.0,0.950,0.892804
100.0,0.950,0.919212
100.0,0.950,0.658699
100.0,0.950,0.722412
100.0,0.950,0.790844
100.0,0.950,0.919481
100.0,0.950,0.933796
100.0,0.950,0.911051
100.0,0.950,0.936850
100.0,0.950,0.801449
100.0,0.950,0.897627
100.0,0.950,0.673125
100.0,0.950,0.883010
100.0,0.950,0.888185
100.0,0.950,0.671097
100.0,0.950,0.697463
100.0,0.950,0.852902
100.0,0.950,0.890445
100.0,0.950,0.793695
100.0,0.950,0.826694
100.0,0.950,0.933268
100.0,0.950,0.677367
100.0,0.950,0.791535
100.0,0.950,0.918067
100.0,0.950,0.860776
100.0,0.950,0.874303
100.0,0.950,0.891036
100.0,0.950,0.908875
100.0,0.950,0.768637
100.0,0.950,0.873229
100.0,0.950,0.856299
100.0,0.950,0.827974
100.0,0.950,0.876508
100.0,0.950,0.775427
100.0,0.850,0.179509
100.0,0.850,-0.002652
100.0,0.850,0.196174
100.0,0.850,-0.056867
100.0,0.850,-0.148859
100.0,0.850,0.123693
100.0,0.850,-0.135909
100.0,0.850,-0.094060
100.0,0.850,-0.088050
100.0,0.850,0.203932
100.0,0.850,0.022876
100.0,0.850,-0.102760
100.0,0.850,0.092926
100.0,0.850,0.070138
100.0,0.850,-0.103050
100.0,0.850,0.168371
100.0,0.850,-0.018505
100.0,0.850,-0.056931
100.0,0.850,0.023441
100.0,0.850,-0.013594
100.0,0.850,-0.341377
100.0,0.850,0.024549
