final,best,alpha
-65.22675323486328,-883.9583740234375,68
-642.330078125,-852.064453125,72
-685.41552734375,-896.4678955078125,63
-760.5623168945312,-800.3121948242188,69
-687.0427856445312,-810.528076171875,69
