t,Z
1,-0.9303728621448674
2,-0.8822095654932477
3,-0.8624518669091399
4,-0.7212242744690784
5,-0.8816880650149803
6,-0.8243502812679646
7,-0.9338153232544139
8,-0.7605168364536843
9,-0.844413313612561
10,-0.9106476107593642
11,-0.8694427447925618
12,-0.890809206380208
13,-0.8628000003924671
14,-0.9042529811528613
15,-0.9054197345152787
16,-0.9217017633687044
17,-0.7837009308471934
18,-0.8704744533600017
19,-0.7282184437171436
20,-0.842440991910352
21,-0.8936209157731761
22,-0.930423203974595
23,-0.9098980183604201
24,-0.9212662121335409
25,-0.8829242109275922
26,-0.8819092711549361
27,-0.8446680845263731
28,-0.9462897675889519
29,-0.7952156353900091
30,-0.9065003918441558
31,-0.6626197226519985
32,-0.8124440223032496
33,-0.5983278139511536
34,-0.8108596239850807
35,-0.8924229850514217
36,-0.8966566522768362
37,-0.8582860452620812
38,-0.8899518110963832
39,-0.6787014530032256
40,-0.895441293114897
41,-0.8482982582097492
42,-0.7181205544118611
43,-0.7884638881625621
44,-0.9031661494283245
45,-0.8192235336337055
46,-0.8902070908804443
47,-0.7727640376444218
48,-0.8862796431067377
49,-0.9095643427142658
50,-0.8031527941501652
51,-0.8815870502041437
52,-0.9413171143360636
53,-0.6890019080600777
54,-0.900290146378232
55,-0.7082260792192279
56,-0.9084340284754254
57,-0.8959397057944423
58,-0.8584613089423313
59,-0.8416061289942159
60,-0.7736350151953559
61,-0.9149866648565618
62,-0.8860634600693656
63,-0.6544546261917868
64,-0.7700511864110823
65,-0.9407553211859856
66,-0.9118671335862253
67,-0.9053763020003394
68,-0.7509735833043591
69,-0.8650840677850579
70,-0.7271762433447302
71,-0.9111741928854469
72,-0.8691135208558458
73,-0.8606680733788882
74,-0.7480198419839899
75,-0.6780277798943712
76,-0.8528544255399914
77,-0.9077850348384668
78,-0.8822642613911139
79,-0.9470270954641262
80,-0.8267162416152376
81,-0.8683745206413173
82,-0.9521435149683704
83,-0.6516692752634223
84,-0.8661585192547716
85,-0.9190863399161904
86,-0.5175425673854741
87,-0.8359705914412494
88,-0.7672568316710412
89,-0.812493349694576
90,-0.9261974749605911
91,-0.870308984465032
92,-0.5232572615893722
93,-0.8311359509433497
94,-0.8823283434739614
95,-0.9468136253089063
96,-0.6613291788210708
97,-0.7067311140152455
98,-0.7911594347350746
99,-0.8538665624522659
100,-0.8135885777218322
101,0.9377366787412007
102,0.829223317838137
103,0.8469648639839922
104,0.9306798395791656
105,0.7639410448653924
106,0.8872410034437862
107,0.9631348217241327
108,0.8032951281408222
109,0.8459868144390695
110,0.25808345451327375
111,0.9065999699248428
112,0.9366821929118057
113,0.9397568637729408
114,0.8639245319808697
115,0.8439430818064004
116,0.7397937448274211
117,0.7640745853781759
118,0.9039669772821656
119,0.8115544666354796
120,0.8681134007115676
121,0.8068470495006115
122,0.8354468473599902
123,0.7788329476181122
124,0.884695740724287
125,0.7929457423219599
126,0.9315198364698153
127,0.9031960498528634
128,0.6846439579083217
129,0.7369997380627301
130,0.6152930508723667
131,0.8278005202844174
132,0.9037221932654272
133,0.9302694149971291
134,0.8113621256636613
135,0.8044395829350177
136,0.9228037802689657
137,0.8124224805516778
138,0.663359724885363
139,0.9089728932373373
140,0.6580834794585386
141,0.6823522906287709
142,0.9033379185741996
143,0.8780973568119971
144,0.6827153251380731
145,0.6227481689255323
146,0.9408771832704953
