t,Z
1,0.0016936225743199394
2,4.9958795404103635e-6
3,-3.69458997280192e-5
4,-0.0012979475695889119
5,-0.0010709603492875175
6,0.0014297838722516353
7,9.994748340913738e-5
8,-0.001024796168308828
9,-0.00018724542332754777
10,0.0003713059502954152
11,-0.0016790304217652605
12,-0.0006508375191233239
13,2.32035074629322e-5
14,-0.0024421460360758438
15,0.0003291990506309683
16,3.888914918648289e-5
17,-0.0006655983455042047
18,-0.000509238187835539
19,0.0005056768538057787
20,7.013506175938654e-5
21,0.0011224644714710006
22,0.0009397180365293377
23,-0.0007429124480552096
24,-0.00047512175246933625
25,-0.0007592317163538974
26,-0.0009396368911337026
27,0.0020981083002452046
28,0.0005578707822597928
29,0.00017283509677057827
30,-0.0009102596188363565
31,0.0006265263837260692
32,5.226529556709103e-5
33,0.0006121605619191371
34,0.0003515930492333252
35,-0.0014282754002124174
36,0.0004462332821272907
37,0.000996422190009425
38,-0.0007681007200417665
39,0.00032576625102733066
40,0.0007392452800639292
41,0.00011143930525294498
42,-0.0002308813717914204
43,0.0005367157134289635
44,0.0017326651574026374
45,0.0007028896547385454
46,-0.0003448363631176998
47,-0.0013301986657205753
48,0.0020506293078688897
49,-0.0004906777296671893
50,-0.00016895339270110664
51,-0.0007373972070925505
52,2.0921310370778376e-5
53,-0.0005014176228600275
54,-0.0014174099248304693
55,0.001197092224048497
56,0.00036777777414927156
57,0.00034602578594450145
58,-0.0003876339426658814
59,0.0002886168506942366
60,0.0010972234056818395
61,-0.001443900824214602
62,-0.0008002649307627595
63,0.00031729040373903447
64,0.00047855580183682185
65,-0.000874176870366765
66,0.0006059324191443904
67,-0.0015335691346216227
68,-0.0003600285445926021
69,-0.0009825571147066235
70,0.00014111521361563016
71,-0.00025476154393216927
72,-0.0003090496006585941
73,-0.0013555352446618318
74,0.0007379125021583532
75,-0.00032340770202816667
76,0.0004431589167216665
77,0.0005088154122778854
78,-0.0005097343193078751
79,0.00033960655918106707
80,-0.0008165468480957738
81,0.00036808931320705615
82,0.00012178636948592112
83,0.001489008827489182
84,0.002009680832559306
85,0.0004074385763187682
86,-0.00032962390990479146
87,-0.001068863391828929
88,-0.0003256999060704657
89,3.9159832994215545e-5
90,-0.0013371862293822744
91,0.0012445056877022707
92,-0.0007305041638036524
93,-0.0015455652581739707
94,0.0017900407255694727
95,-0.0001706929335881768
96,-0.0003521422096028392
97,0.0009865018495127018
98,0.00031080087397798104
99,-0.00014691831347121373
100,0.00019154827403222938
101,9.21320133284431e-5
102,0.0004173766448156701
103,0.0008789042211918451
104,0.00014769373266395157
105,-0.00043001210564334473
106,-0.0008459466978041151
107,-0.0007205340951849292
108,0.0006211501334677937
109,-0.00018557671314584743
110,0.00034502610932831687
111,0.0006647112773561025
112,0.0005656934869801455
113,0.0005233342414162577
114,0.0011135369775793257
115,-0.0012452711191971364
116,0.002088157627970146
117,0.00040668053176910794
118,-0.0014767031576674104
119,0.0013079187329123696
120,-0.0008154555831748244
121,-0.002323574342344682
122,0.0007733578701009057
123,-0.0006943079642533789
124,-0.0005283810971586632
125,-1.1569308081995632e-5
126,-0.00022924967628520806
127,-0.0006846774083833051
128,0.0013641083807640951
129,0.0007488299920690466
130,0.0007598145518026288
131,0.0001888186897799304
132,0.0009555012753665747
133,0.001384295559259747
134,0.0003460242987078876
135,7.562538637695625e-5
136,-0.0014161529199505417
137,-0.00013108521511901003
138,-0.001503487971252867
139,0.0007407616420821971
140,0.0016642422089841278
141,-8.963885388684533e-5
142,0.0007275797596598909
143,0.0007722362384198299
144,-0.0013912895559521341
145,5.256770735748706e-6
146,-0.0005918467780217694
147,7.597050205438771e-5
148,0.0014747004829696595
149,-0.0006090794102334373
150,0.0009012533081579143
151,0.0005885076997934368
152,-0.0006425711281113699
153,-0.0012462177145410834
154,-0.0017632397024347367
155,0.00026907532485569873
156,-0.0003173550695581073
157,-0.0002501011960517263
158,0.0002917099300902359
159,-2.5683604400481562e-5
160,0.0006688533296340759
161,0.00017619837848813045
162,0.0004317453684792149
163,0.0015379989542654469
164,5.262888104677232e-5
165,-0.0008003721607721658
166,0.0012806459367031729
167,-0.0005663761672095746
168,0.00022962937228264034
169,0.0009692472020122266
170,-0.0007671354586422884
171,0.0002797695899222341
172,8.992502102558529e-5
173,0.0003986412062923583
174,-9.189970002883017e-5
175,0.00026815881930186464
176,0.0010385010033929197
177,-0.00020193858976014776
178,-0.00045971269719802027
179,0.000582385851500795
180,-0.0006706835649828512
181,-0.001743247405224516
182,3.739542927237327e-5
183,-0.0017218941436410993
184,0.0011633314214319944
185,-0.00152127655536482
186,0.000486019275872509
187,-0.0006753567356231216
188,0.00016412931335279434
189,-0.0011730221442510756
190,0.0010218706224454886
191,-0.0025455938565771105
192,-7.090017547344395e-5
193,0.000360750175181157
194,0.00029101687613081623
195,0.001371650369051682
196,0.0010053413092701335
197,-0.001540532966940381
198,-0.0007969703801019311
199,-0.0008748023583238006
200,-0.0006794586949003266
201,-2.0859389809568806e-6
202,0.00023072712237769184
203,-0.001004461209210914
204,-0.0003979957838952863
205,0.00030378565526153697
206,0.0006888481523895983
207,0.00022906633617432833
