t,Z
1,0.03031517776047859
2,-0.012091126301889377
3,0.02371412892416784
4,0.035957636620737914
5,-2.7466549646770756e-5
6,0.019680600378482703
7,0.024736887995274476
8,0.033047920339375196
9,0.010311239462952154
10,0.0019015216587775986
11,0.017157557992863105
12,0.014172354333429431
13,0.008128935129655495
14,0.017789676211907073
15,-0.03991351810936854
16,-0.006507867093175744
17,0.0286022550084261
18,0.005788774252248861
19,-0.014260240269276426
20,0.012999425429753375
21,0.03900775077919332
22,0.015148899026669087
23,0.0054551419848309825
24,0.026760145756566624
25,0.00865522146004386
26,0.0063103347210862835
27,0.03526301368464816
28,0.03923703795293527
29,0.06720465956812854
30,-0.011809040275433128
31,-0.011912382484365075
32,-0.015895236145939552
33,0.018843034881868163
34,0.006409150329885536
35,0.005030125196782895
36,-0.02317855090201603
37,0.015724253426178083
38,0.020316040900345746
39,-0.011398782889703486
40,0.03687429606208844
41,-0.006899750865690827
42,0.022891301591455537
43,0.013017945580320874
44,0.006257514132925421
45,0.05563033531273872
46,0.0278403786472631
47,0.0003595304125075627
48,-0.008590995525492553
49,-0.01653292430950587
50,0.011368284964306063
51,0.007862828908886494
52,0.023574117799992775
53,0.03175667775493392
54,0.021874505478090406
55,0.023125061401515254
56,0.02192480749699309
57,0.02848505358241191
58,-0.009086762723735436
59,0.045952938648246934
60,0.03038691653697679
61,0.04694195766225798
62,0.023897488826928957
63,0.02507366079765308
64,0.0478732659054395
65,0.04323872159698271
66,0.013741583628706608
67,0.020974819389359387
68,-0.0235078507913934
69,0.004531151028490755
70,0.017028048600090676
71,0.0004853422469474844
72,0.003931088788451005
73,0.027768070958664237
74,0.004762075866331573
75,-0.013811345588071003
76,-0.014318178749783644
77,-0.007411989331028937
78,-0.008124232477553422
79,0.01247235576891366
80,-0.020917646529940187
81,0.04889957333313859
82,0.0042343359673572434
83,-0.028161947266267504
84,0.012975874393026936
85,0.020896136168023632
86,0.012112713279310667
87,0.0028826888931331764
88,-0.005759081424326776
89,0.007586791911891979
90,-0.06215183603927203
91,-0.005298474411717319
92,-0.01801655241459597
93,0.04167956605795598
94,0.052641239780435216
95,0.005786837499489097
96,-0.024796855075934328
97,0.024292908063386444
98,-0.0270990568306074
99,0.005830111373817615
100,0.002746356832674468
101,0.017996420512086074
102,0.05581802829144975
103,0.04969207558676785
104,0.0454067220522285
105,-0.00872913590719511
106,0.0034134561665152253
107,0.02667314157910575
108,0.007563930601840225
109,0.00795977935542944
110,-0.014749733859830043
111,0.010492968763233579
112,0.008296904726153161
113,0.02600816661835029
114,0.02217167922357718
115,0.027070511455355346
116,-0.002380983559999337
117,-0.003662474743092209
118,0.029085294645612932
119,-0.04275236100617436
120,0.028087902421991388
121,0.029864129015518562
122,0.004492900804083666
123,-0.022039250398378545
124,0.0029689378939463263
125,0.006985220839345408
126,-0.015589945468711583
127,0.06298458519993923
128,0.03027210125850709
129,0.015880878319562714
130,0.048703042546072106
131,0.011003571130116374
132,0.00529515876086695
133,0.008312106053359492
134,0.005521412771225276
135,0.025330413938542747
136,0.016208728355793945
137,-0.015968096297063313
138,-0.0004573833798043481
139,0.010404968107901471
