t,Z,Z_std
1,0.0013299473684210551,0.06835657697014176
2,-0.00356342105263158,0.08073069711372222
3,-0.0004067368421052632,0.06948529345555754
4,0.00038305263157895135,0.06691050361439231
5,0.0009438421052631593,0.07216363404810747
6,0.0007673157894736827,0.07651859138949614
7,0.00037531578947368405,0.07496782395452149
8,0.0008323684210526342,0.07250603713620558
9,0.002160210526315793,0.07027298641488608
10,-1.1421052631579804e-5,0.07439422252415702
11,0.0012924736842105256,0.07178564081624646
12,-0.04444115789473686,0.11593899461001181
13,-0.2971767368421057,0.2381166629131427
14,-0.7364643684210544,0.21613843194918544
15,-0.9514513684210557,0.10651539269655996
16,-1.0069850000000033,0.02444426921176616
17,-1.0097990000000034,0.006356178096938438
18,-1.0100000000000033,1.1107785528183519e-15
19,-1.0100000000000033,1.1107785528183519e-15
20,-1.0100000000000033,1.1107785528183519e-15
21,-1.0100000000000033,1.1107785528183519e-15
22,-1.0100000000000033,1.1107785528183519e-15
23,-1.0100000000000033,1.1107785528183519e-15
24,-1.0100000000000033,1.1107785528183519e-15
25,-1.0100000000000033,1.1107785528183519e-15
26,-1.0100000000000033,1.1107785528183519e-15
27,-1.0100000000000033,1.1107785528183519e-15
28,-1.0100000000000033,1.1107785528183519e-15
29,-1.0100000000000033,1.1107785528183519e-15
30,-1.0100000000000033,1.1107785528183519e-15
31,-1.0100000000000033,1.1107785528183519e-15
32,-1.0100000000000033,1.1107785528183519e-15
33,-1.0100000000000033,1.1107785528183519e-15
34,-1.0100000000000033,1.1107785528183519e-15
35,-1.0100000000000033,1.1107785528183519e-15
36,-1.0100000000000033,1.1107785528183519e-15
37,-1.0100000000000033,1.1107785528183519e-15
38,-1.0100000000000033,1.1107785528183519e-15
39,-1.0100000000000033,1.1107785528183519e-15
40,-1.0100000000000033,1.1107785528183519e-15
41,-1.0100000000000033,1.1107785528183519e-15
42,-1.0100000000000033,1.1107785528183519e-15
43,-1.0100000000000033,1.1107785528183519e-15
44,-1.0100000000000033,1.1107785528183519e-15
45,-1.0100000000000033,1.1107785528183519e-15
46,-1.0100000000000033,1.1107785528183519e-15
47,-1.0100000000000033,1.1107785528183519e-15
48,-1.0100000000000033,1.1107785528183519e-15
49,-1.0100000000000033,1.1107785528183519e-15
50,-1.0100000000000033,1.1107785528183519e-15
51,-1.0100000000000033,1.1107785528183519e-15
52,-1.0100000000000033,1.1107785528183519e-15
53,-1.0100000000000033,1.1107785528183519e-15
54,-1.0100000000000033,1.1107785528183519e-15
55,-1.0100000000000033,1.1107785528183519e-15
56,-1.0100000000000033,1.1107785528183519e-15
57,-1.0100000000000033,1.1107785528183519e-15
58,-1.0100000000000033,1.1107785528183519e-15
59,-1.0100000000000033,1.1107785528183519e-15
60,-1.0100000000000033,1.1107785528183519e-15
61,-1.0100000000000033,1.1107785528183519e-15
62,-1.0100000000000033,1.1107785528183519e-15
63,-1.0100000000000033,1.1107785528183519e-15
64,-1.0100000000000033,1.1107785528183519e-15
65,-1.0100000000000033,1.1107785528183519e-15
66,-1.0100000000000033,1.1107785528183519e-15
67,-1.0100000000000033,1.1107785528183519e-15
68,-1.0100000000000033,1.1107785528183519e-15
69,-1.0100000000000033,1.1107785528183519e-15
70,-1.0100000000000033,1.1107785528183519e-15
71,-1.0100000000000033,1.1107785528183519e-15
72,-1.0100000000000033,1.1107785528183519e-15
73,-1.0100000000000033,1.1107785528183519e-15
74,-1.0100000000000033,1.1107785528183519e-15
75,-1.0100000000000033,1.1107785528183519e-15
76,-1.0100000000000033,1.1107785528183519e-15
77,-1.0100000000000033,1.1107785528183519e-15
78,-1.0100000000000033,1.1107785528183519e-15
79,-1.0100000000000033,1.1107785528183519e-15
80,-1.0100000000000033,1.1107785528183519e-15
81,-1.0100000000000033,1.1107785528183519e-15
82,-1.0100000000000033,1.1107785528183519e-15
83,-1.0100000000000033,1.1107785528183519e-15
84,-1.0100000000000033,1.1107785528183519e-15
85,-1.0100000000000033,1.1107785528183519e-15
86,-1.0100000000000033,1.1107785528183519e-15
87,-1.0100000000000033,1.1107785528183519e-15
88,-1.0100000000000033,1.1107785528183519e-15
89,-1.0100000000000033,1.1107785528183519e-15
90,-1.0100000000000033,1.1107785528183519e-15
91,-1.0100000000000033,1.1107785528183519e-15
92,-1.0100000000000033,1.1107785528183519e-15
93,-1.0100000000000033,1.1107785528183519e-15
94,-1.0100000000000033,1.1107785528183519e-15
95,-1.0100000000000033,1.1107785528183519e-15
96,-1.0100000000000033,1.1107785528183519e-15
97,-1.0100000000000033,1.1107785528183519e-15
98,-1.0100000000000033,1.1107785528183519e-15
99,-1.0100000000000033,1.1107785528183519e-15
100,-1.0100000000000033,1.1107785528183519e-15
