t,Z,Z_std
1,0.7490043744518428,0.10136452931411848
2,0.7536059846855095,0.14283820282685727
3,0.7945885587502554,0.16595423921778715
4,0.7473328094254038,0.10290118722170397
5,0.890998379395041,0.1617070738005635
6,0.7981056963883626,0.14589642549390144
7,0.8499556635409451,0.15343248331907391
8,0.793047579286944,0.14676485744331394
9,0.7517076395641555,0.14257116939758488
10,0.7373513566604231,0.15600422324860685
11,0.8273548411767194,0.13606409608245776
12,0.8301272795093789,0.11091380663177233
13,0.8154461148437567,0.15172668130318212
14,0.8410381909987888,0.09993090155226715
15,0.8158076591987218,0.13968736492138792
16,0.7821609986975094,0.16259394334096572
17,0.8163215736128985,0.13300362017079223
18,0.7967880081683636,0.10151889158818612
19,0.8003411580751386,0.1362539661208145
20,0.8422253514359672,0.12906336149008807
21,0.7674768562736939,0.16131433666184025
22,0.8553270997769828,0.08523500639683858
23,0.801470864560296,0.13639005028483722
24,0.7507129680479954,0.1660061295110933
25,0.777904060136396,0.1293370308953976
26,0.6985804907436023,0.11546782547494162
27,0.7008253502411841,0.15944831037022453
28,0.7673612242138884,0.12472313106045557
29,0.7663725652797115,0.1282890236669502
30,0.7860858641887114,0.13860102638581878
31,0.7990847176236179,0.1417618638445005
32,0.766036046827578,0.10911104032803547
33,0.7689609299693034,0.16058590416789217
34,0.800268175554961,0.1448076427199944
35,0.7519545152073053,0.14209024011985052
36,0.8714169786859509,0.09567867770065534
37,0.783105079143952,0.1271151935120053
38,0.7657216905654665,0.14962396600757244
39,0.8136626197663539,0.15210605761314872
40,0.76652446703807,0.14703396250329512
41,0.8447826363391829,0.1414610343873481
42,0.8284304856125937,0.11469818051656608
43,0.7815374317398874,0.12302655379014739
44,0.8479100967020189,0.15286952388874742
45,0.796219479987746,0.10266378644084195
46,0.8111590455942961,0.11807942063550696
47,0.7654803172409943,0.12946447789682583
48,0.7975014388018781,0.14709880034442133
49,0.7492824604937856,0.1498403818753747
50,0.7491743870066478,0.17894291420769462
51,0.8629255345410429,0.16231641331425406
52,0.7826700879646341,0.12719097431114412
53,0.7958477831875048,0.14604964150195443
54,0.8284405935550814,0.13214432468424062
55,0.7475167083122514,0.12274273790500276
56,0.7947525348285137,0.12586034809016605
57,0.8593300848609079,0.16710092842059132
58,0.7681624795344012,0.11881771394682827
