t,Z,Z_std
1,0.6644945899632803,0.024227436249141435
2,0.6645754415107538,0.024533061115366937
3,0.6645442717258263,0.024053484986739208
4,0.6644712414757825,0.023863876462542906
5,0.664177099143207,0.023742465621115153
6,0.6647116488896662,0.024114177856452812
7,0.6647862318587165,0.024983199204677575
8,0.6648587707641196,0.02470892860678176
9,0.6644957265256164,0.024624375882506367
10,0.6645270869033049,0.02420989256909603
11,0.664503416681238,0.02429374222039863
12,0.6646178807483826,0.024792779338026403
13,0.6644309512152474,0.02370540059207628
14,0.6646260500087429,0.024003168184501083
15,0.6643646616541354,0.023728220040535826
16,0.6644689491169786,0.02413187959870736
17,0.6648930564784054,0.0244089616472601
18,0.6643088337121875,0.024134973230119167
19,0.6644803549571604,0.024124632629522236
20,0.664614394124847,0.024139150830282854
21,0.6642973194614444,0.024399289308642765
22,0.6645447560762372,0.023970620553698623
23,0.6648095156495892,0.024693935226406158
24,0.6646797184822523,0.024437097360933805
25,0.6643087008218221,0.024181476219832843
26,0.6640219286588565,0.023572892810528188
27,0.6642810963455151,0.023408300791135424
28,0.6645622101766043,0.023860278066710115
29,0.6645289491169786,0.024028787521352755
30,0.6643523588039869,0.02412176707521733
31,0.6652030022731247,0.025032805233388
32,0.6647429288337122,0.024859516061600636
33,0.6640251739814653,0.024004143306705125
34,0.6648900227312468,0.02460315109293616
35,0.6644726368246198,0.02442888099004583
36,0.6645524252491694,0.024219449362081712
37,0.664254413358979,0.023739616121864506
38,0.664300262283616,0.02457199804349204
39,0.6636822573876552,0.02301568514716327
40,0.6638853348487499,0.023535840395409565
41,0.6649330652211927,0.024875266919382768
42,0.6644723168386081,0.02424979957253862
43,0.6643195523692953,0.02414913631627692
44,0.6648681325406541,0.024447262845786404
45,0.6644786466165414,0.024417513384520827
46,0.6645620667948943,0.024337712855205872
47,0.6644623343241826,0.024262833326295044
48,0.6646203986710965,0.024448856272258773
49,0.6647752019583844,0.024583791683800177
50,0.6643030529812906,0.023837930818971266
51,0.664469137961182,0.024240578986222446
52,0.6647430809582094,0.025182908080096298
53,0.6647150603252318,0.024233494863733204
54,0.6640852456723204,0.023449423756148415
55,0.6645526350760623,0.024244902993150498
56,0.6642466410211577,0.02388986472017316
57,0.6639841563210354,0.02335160067185387
58,0.6639796957510056,0.023772623715069247
59,0.6649200472110509,0.024755851752596647
60,0.6644087847525793,0.02415699542469888
61,0.6643044308445533,0.024286918288503087
62,0.6645135862913097,0.02430307147708767
63,0.6644923815352335,0.024314405400012996
64,0.6644536544850499,0.023847311170588706
65,0.6637958419304075,0.023763234451327706
66,0.6642360797342194,0.024056669940702963
67,0.6642499965028852,0.023972042378211544
68,0.6645216279069769,0.024533453397332147
69,0.6647352911348138,0.024135073536582365
70,0.6647723692953313,0.024738766230037207
71,0.6645141108585418,0.02444439041033713
72,0.6641984210526317,0.02416382325562046
73,0.6641765868158769,0.023558382105058177
74,0.664660265780731,0.024411138365686483
75,0.6642868578422801,0.023612955182010356
76,0.6645823063472636,0.02404428688912257
77,0.6639927906976746,0.023750534439001814
78,0.6641922381535235,0.023560249912878063
79,0.6637758716558839,0.022752832654986926
80,0.6645043521594686,0.024128382308910096
81,0.6647247770589264,0.024277601007256677
82,0.6642860220318239,0.023983349963629882
83,0.6640305368071342,0.023395284061740323
84,0.664233713936003,0.02429477629661919
85,0.664422601853471,0.024274591879650642
86,0.6650389071515999,0.02455187843099754
87,0.6649143136912047,0.024742406217585628
88,0.6641980188844203,0.024238813316881856
89,0.6645171848225214,0.024495597464774865
90,0.6651062878125547,0.025072705115028796
91,0.6646387445357581,0.024323761885170502
92,0.6657334866235356,0.025450818723282347
93,0.6646311330652213,0.02398615587955127
94,0.666954859241126,0.027292562858496443
95,0.6753876499388001,0.03495357406097191
96,0.6683953068718306,0.028375360172773617
97,0.6694319146703966,0.02950090374492978
98,0.73443269627557,0.06829389441525388
99,0.8042433344990332,0.0724180628794406
100,0.8611441825493897,0.07346684413505673
101,0.9561810683685846,0.051826802938350174
102,0.9999999999999869,1.110278539940071e-16
103,0.9999999999999869,1.110278539940071e-16
104,0.9999999999999869,1.110278539940071e-16
105,0.9999999999999869,1.110278539940071e-16
106,0.9999999999999869,1.110278539940071e-16
107,0.9999999999999869,1.110278539940071e-16
108,0.9999999999999869,1.110278539940071e-16
109,0.9999999999999869,1.110278539940071e-16
110,0.9999999999999869,1.110278539940071e-16
