t,Z,Z_std
1,0.6644840584018186,0.02399672987763223
2,0.6659402308095821,0.026005850314182836
3,0.6786158559188663,0.03722075339169729
4,0.6794137366672488,0.03833136561244024
5,0.6640654520020984,0.023517096650082323
6,0.6687667004721104,0.02954273561311252
7,0.6638612519671273,0.023591192115762518
8,0.6640516943521596,0.023123006755999712
9,0.6663723955236929,0.026566941050710162
10,0.6761184140584015,0.03545768533902647
11,0.6698034586466163,0.030966961014577583
12,0.6637418814478058,0.022963089026210977
13,0.6729355254415105,0.03338963270085085
14,0.6672764941423326,0.02773286695114419
15,0.6646633117677917,0.024725442623049564
16,0.6689277600979191,0.029467661705808057
17,0.6764938730547295,0.03571906624246797
18,0.6680589071516,0.028409971752789517
19,0.6652549186920791,0.025511111854558902
20,0.664164803287288,0.023676739541938385
21,0.6665659678265431,0.026961347347723617
22,0.6673549291834237,0.02754794133770961
23,0.666755721279944,0.026817495751960397
24,0.6749413988459517,0.03441080922306947
25,0.668711045637349,0.02930549812739075
26,0.6648429900332226,0.024358408888379438
27,0.6703691676866584,0.030115479355545823
28,0.6731999650288509,0.033206955976296325
29,0.6661578352858892,0.026290635358373105
30,0.6701706871830738,0.031407927960806784
31,0.691286074488546,0.04579842259656979
32,0.6704048067844027,0.030541333735691543
33,0.6818956041265949,0.04003246953489904
34,0.6807175135513195,0.03882952291587656
35,0.6722376516873575,0.0328821663917653
36,0.6659885294631928,0.02618340523381884
37,0.6778083843329248,0.038164886395239815
38,0.6767803409687003,0.03649307832332855
39,0.667590680188844,0.02757187661636312
40,0.6702515247420877,0.030329334572471885
41,0.665564850498339,0.025582680137848268
42,0.6737580800839303,0.033325462251163146
43,0.6642984297954189,0.02404923620470621
44,0.669726036020283,0.02990101864136306
45,0.6656156915544676,0.025920658791744874
46,0.6796872670047205,0.03910801375311424
47,0.6741968788249691,0.034357191847176734
48,0.6676936929533135,0.027757070258707304
49,0.6690909512152472,0.029698603066806092
50,0.6656869242874628,0.02570277870084455
51,0.667989547123623,0.02800188813391524
52,0.6683489596083231,0.02758085045819324
53,0.6667815964329428,0.026895110368833443
54,0.6637823990208078,0.022907437906724993
55,0.6723424374890712,0.03341106989194169
56,0.6673803689456197,0.027898690832966793
57,0.6758891991606921,0.037950485872516315
58,0.6806290522818669,0.03950142481189215
59,0.6795132470711657,0.03970785595479804
60,0.6675820440636474,0.027718086210634364
61,0.668297922713761,0.028966858578632224
62,0.664708279419479,0.02450889763206989
63,0.6779379367022201,0.03833644640080767
64,0.6714782741738065,0.031679182593592196
65,0.6750039429970272,0.03437485621764373
66,0.6699451634901205,0.030065144267891235
67,0.6686721891939149,0.028590224864952163
68,0.6757300437139356,0.03609481092404621
69,0.6727056216121696,0.033062992290131994
70,0.669542738240951,0.03041026769805436
71,0.6650331159293584,0.02486128932852853
72,0.6689318517223289,0.029394345485786594
73,0.675112969050533,0.03520158284540621
74,0.669194771813254,0.030746130607161876
75,0.6699298723553068,0.030239238227244353
76,0.6644961251967129,0.024136360269643154
77,0.6669453453400944,0.027385032667674548
78,0.6970461042140221,0.04924847680639196
79,0.6652935285889141,0.025005486690374702
80,0.684591321909424,0.0422162113838203
81,0.7018249781430305,0.05125371965361058
82,0.6747157387655182,0.03576309346250686
83,0.6645306329777934,0.02429327075542829
84,0.6682543189368771,0.02883681058925673
85,0.6652648067844029,0.024864559152807098
86,0.666916845602378,0.02713735587128552
87,0.6717984997377161,0.032516453799087915
88,0.6701411820248293,0.030101926287613236
89,0.6669319129218394,0.026675073232719598
90,0.6663672058052107,0.02642913390344128
91,0.6634749816401471,0.02291427090610066
92,0.6656314005945096,0.025689597071023938
93,0.6667979804161566,0.027292873164741955
94,0.6663803794369644,0.026341936153443525
95,0.6653823832837908,0.02486681542745799
96,0.6679182059800663,0.028582055478635064
97,0.6657625424025179,0.02605063361885418
98,0.6655866934778807,0.02552391426037545
99,0.6852517048435033,0.04249321612779595
100,0.6832496293058219,0.040848560869958056
101,0.6697990347962929,0.030774109998014505
102,0.6935922993530327,0.04755180960729221
103,0.6838890977443601,0.04201489767347866
104,0.6766710980940719,0.037451632400616774
105,0.6845779349536624,0.04124124601234175
106,0.6748220877775831,0.0365893057997833
107,0.6641733397447107,0.02343334658966596
108,0.6740207833537328,0.03431260884577576
109,0.6799679069767437,0.039346553153727586
110,0.6660632190942474,0.02618036600636306
