final,best,alpha
-65.22675323486328,-860.4808959960938,68
-638.2767333984375,-870.1682739257812,66
-745.1920166015625,-896.201904296875,64
-17.308496475219727,-916.9556274414062,68
-739.2804565429688,-859.2632446289062,63
