final,best,alpha
-588.0975952148438,-819.1499633789062,10
-500.0561218261719,-619.0654907226562,10
-544.0950927734375,-711.636474609375,10
-665.9472045898438,-667.4097290039062,9
-737.5149536132812,-765.5709228515625,9
