final,best,alpha
-548.04345703125,-810.7042846679688,23
-635.4620361328125,-674.30517578125,30
-517.9214477539062,-760.7291259765625,21
-760.5623168945312,-790.9743041992188,67
-687.0427856445312,-825.1884765625,69
