final,best,alpha
-634.5947875976562,-819.1499633789062,10
-500.0561218261719,-619.0654907226562,10
-577.9681396484375,-692.0099487304688,10
-665.9472045898438,-667.4097290039062,9
-737.5149536132812,-765.5709228515625,9
