final,best,alpha
-643.7452392578125,-819.1499633789062,20
-500.0561218261719,-619.0654907226562,20
-535.040283203125,-711.636474609375,20
-665.9472045898438,-667.4097290039062,18
-737.5149536132812,-765.5709228515625,18
