final,best,alpha
-478.642822265625,-865.2069091796875,12
-617.5253295898438,-674.30517578125,15
-484.779296875,-714.1702270507812,10
-744.5086669921875,-755.9287109375,18
-760.31494140625,-825.1884765625,17
