final,best,alpha
-588.342041015625,-819.1499633789062,97
-512.55517578125,-619.0654907226562,99
-516.5435791015625,-731.162841796875,101
-665.9472045898438,-667.4097290039062,90
-737.5149536132812,-765.5709228515625,86
