final,best,alpha
-690.4982299804688,-810.7042846679688,114
-614.4515380859375,-674.30517578125,150
-664.0679321289062,-731.0850219726562,108
-744.6522827148438,-755.9287109375,174
-760.31494140625,-825.1884765625,162
