final,best,alpha
-542.3646240234375,-927.3821411132812,12
-594.2745361328125,-634.0092163085938,12
-515.1087646484375,-711.1762084960938,10
-664.8217163085938,-667.4097290039062,10
-753.8595581054688,-825.1884765625,10
