final,best,alpha
-689.9166870117188,-912.3782348632812,153
-567.6771240234375,-731.9918823242188,158
-671.7196655273438,-784.2007446289062,137
-744.6522827148438,-755.9287109375,174
-760.31494140625,-825.1884765625,163
