final,best,alpha
-629.0310668945312,-819.1499633789062,20
-596.7183837890625,-674.30517578125,30
-575.1962280273438,-709.5604248046875,20
-744.6522827148438,-755.9287109375,35
-760.31494140625,-777.6989135742188,33
