tau,T,success_rate
10.0,1000.0,0.0
10.0,1623.7767391887226,0.0
10.0,2636.650898730358,0.0
10.0,4281.332398719395,0.0
10.0,6951.927961775606,0.0
10.0,11288.378916846883,0.0
10.0,18329.807108324374,0.0
10.0,29763.51441631319,0.0
10.0,48329.30238571752,0.0
10.0,78475.99703514607,0.0
10.0,127427.49857031347,0.0
10.0,206913.808111479,0.0
10.0,335981.8286283781,0.04
10.0,545559.4781168514,0.04
10.0,885866.7904100833,0.08
10.0,1.438449888287663e6,0.02
10.0,2.3357214690901213e6,0.06
10.0,3.792690190732246e6,0.06
10.0,6.158482110660267e6,0.04
10.0,1.0e7,0.02
18.329807108324356,1000.0,0.0
18.329807108324356,1623.7767391887226,0.0
18.329807108324356,2636.650898730358,0.0
18.329807108324356,4281.332398719395,0.0
18.329807108324356,6951.927961775606,0.0
18.329807108324356,11288.378916846883,0.0
18.329807108324356,18329.807108324374,0.0
18.329807108324356,29763.51441631319,0.0
18.329807108324356,48329.30238571752,0.06
18.329807108324356,78475.99703514607,0.12
18.329807108324356,127427.49857031347,0.4
18.329807108324356,206913.808111479,0.42
18.329807108324356,335981.8286283781,0.58
18.329807108324356,545559.4781168514,0.6
18.329807108324356,885866.7904100833,0.72
18.329807108324356,1.438449888287663e6,0.7
18.329807108324356,2.3357214690901213e6,0.68
18.329807108324356,3.792690190732246e6,0.8
18.329807108324356,6.158482110660267e6,0.82
18.329807108324356,1.0e7,0.82
33.59818286283783,1000.0,0.0
33.59818286283783,1623.7767391887226,0.0
33.59818286283783,2636.650898730358,0.0
33.59818286283783,4281.332398719395,0.0
33.59818286283783,6951.927961775606,0.0
33.59818286283783,11288.378916846883,0.0
33.59818286283783,18329.807108324374,0.0
33.59818286283783,29763.51441631319,0.02
33.59818286283783,48329.30238571752,0.12
33.59818286283783,78475.99703514607,0.34
33.59818286283783,127427.49857031347,0.54
33.59818286283783,206913.808111479,0.6
33.59818286283783,335981.8286283781,0.76
33.59818286283783,545559.4781168514,0.86
33.59818286283783,885866.7904100833,0.82
33.59818286283783,1.438449888287663e6,0.86
33.59818286283783,2.3357214690901213e6,0.9
33.59818286283783,3.792690190732246e6,0.98
33.59818286283783,6.158482110660267e6,0.94
33.59818286283783,1.0e7,1.0
61.58482110660264,1000.0,0.0
61.58482110660264,1623.7767391887226,0.0
61.58482110660264,2636.650898730358,0.0
61.58482110660264,4281.332398719395,0.0
61.58482110660264,6951.927961775606,0.0
61.58482110660264,11288.378916846883,0.0
61.58482110660264,18329.807108324374,0.0
61.58482110660264,29763.51441631319,0.0
61.58482110660264,48329.30238571752,0.0
61.58482110660264,78475.99703514607,0.2
61.58482110660264,127427.49857031347,0.36
61.58482110660264,206913.808111479,0.58
61.58482110660264,335981.8286283781,0.62
61.58482110660264,545559.4781168514,0.76
61.58482110660264,885866.7904100833,0.84
61.58482110660264,1.438449888287663e6,0.92
61.58482110660264,2.3357214690901213e6,0.86
61.58482110660264,3.792690190732246e6,0.98
61.58482110660264,6.158482110660267e6,1.0
61.58482110660264,1.0e7,0.96
112.88378916846895,1000.0,0.0
112.88378916846895,1623.7767391887226,0.0
112.88378916846895,2636.650898730358,0.0
112.88378916846895,4281.332398719395,0.0
112.88378916846895,6951.927961775606,0.0
112.88378916846895,11288.378916846883,0.0
112.88378916846895,18329.807108324374,0.0
112.88378916846895,29763.51441631319,0.0
112.88378916846895,48329.30238571752,0.0
112.88378916846895,78475.99703514607,0.0
112.88378916846895,127427.49857031347,0.32
112.88378916846895,206913.808111479,0.44
112.88378916846895,335981.8286283781,0.64
112.88378916846895,545559.4781168514,0.74
112.88378916846895,885866.7904100833,0.74
112.88378916846895,1.438449888287663e6,0.92
112.88378916846895,2.3357214690901213e6,0.94
112.88378916846895,3.792690190732246e6,0.98
112.88378916846895,6.158482110660267e6,0.96
112.88378916846895,1.0e7,1.0
206.913808111479,1000.0,0.0
206.913808111479,1623.7767391887226,0.0
206.913808111479,2636.650898730358,0.0
