t,M
1,0.32036367314198066
2,0.4197639986022108
3,0.3347069525064999
4,0.29240538137299343
5,0.3158327623634418
6,0.4119083979943085
7,0.3312099636246727
8,0.3102801646802393
9,0.3476305883160633
10,0.4024094894512587
11,0.34515140307810904
12,0.420580799474614
13,0.41484813322410546
14,0.38079213369890735
15,0.4142741587034159
16,0.37808525997959774
17,0.36862732028195916
18,0.34912748379540015
19,0.3189282362049774
20,0.4167049966070428
21,0.4445682827752013
22,0.39283583033905195
23,0.4203230420042588
24,0.3194922697910778
25,0.4035757136410896
26,0.3709612783670886
27,0.4025392977785791
28,0.3754547072500198
29,0.34535386177871435
30,0.34661812036972894
31,0.3226441570271793
32,0.3759643218736688
33,0.4110716736685394
34,0.35436970379087857
35,0.3791007959596748
36,0.37107462502546934
37,0.3781588307959938
38,0.3966761873082971
39,0.4610368393847048
40,0.3892940102818728
41,0.32863763441868804
42,0.3483879725444932
43,0.32713318946575237
44,0.3222677645895528
45,0.43201665430979586
46,0.41126143099013973
47,0.29831854706057076
48,0.395581776363611
49,0.3853154977107958
50,0.2966490359574267
51,0.39407771181613793
52,0.3702914173930366
53,0.38679487782298283
54,0.4171287676598519
55,0.43168844536819373
56,0.3124428399379988
57,0.3984981128124705
58,0.35828371621351907
59,0.3753105897049479
60,0.2920906569420053
61,0.3774070693403152
62,0.24325498003035964
63,0.3629000215128865
64,0.34913078388820984
65,0.3773246390444045
66,0.34485938262491783
67,0.3996674682954474
68,0.38446408255243214
69,0.34281048797346814
70,0.3540022228843675
71,0.43211367546839774
72,0.3962194768714794
73,0.4192687364770102
74,0.348123650770146
75,0.3797216576778411
76,0.39417111725456755
77,0.38100896468807344
78,0.32288345711485467
79,0.411747092466267
80,0.41119150256807746
81,0.3627090912998251
82,0.4422433352164929
83,0.3390995693763036
84,0.3645715732619633
85,0.3366330283782512
86,0.2887219326089018
87,0.33549063910540183
88,0.3630581297016279
89,0.38465436758500937
90,0.36330561857200405
91,0.4773272553542106
92,0.34449862215693416
93,0.33657682640969677
94,0.3240823755852209
95,0.33543806953791283
96,0.32153897780437724
97,0.34413230410921336
98,0.38039480040662943
99,0.30199401132188475
100,0.36854117120668334
101,0.4310811718328023
102,0.46820536706033156
103,0.3535698037307674
104,0.4186965693964943
105,0.42411780193467663
106,0.3246131042421468
107,0.38020445249130536
108,0.3557299768983178
109,0.3634863770922682
110,0.45381760108789876
111,0.37394643916030224
112,0.33756182480609803
113,0.3936889299807283
114,0.45420590265958255
115,0.3615267823177533
116,0.31857976150336437
117,0.377054054084682
118,0.408921620729885
119,0.3734644468457724
120,0.399800150704209
121,0.34554823785728417
122,0.30146703468609515
123,0.4941300359613684
124,0.4499905507031975
125,0.34878955117389926
126,0.3064065212308463
127,0.46330492643790216
128,0.4422380921792501
129,0.35360601367007144
130,0.3910194141441212
131,0.30436816716841614
132,0.39367269653621323
133,0.3454616224344662
134,0.3551330033830529
135,0.41320200133450913
136,0.34636438477645926
137,0.4213252956452415
138,0.3492320090387532
139,0.37696707730648754
140,0.4593029383556244
141,0.36592315984556106
142,0.29184788815899126
143,0.3010513422799148
144,0.2803945587117397
145,0.3509720915788416
146,0.3931213004570614
147,0.39966052566747307
148,0.38122027143973586
149,0.37569721806855366
150,0.3944084463396244
151,0.3920418861266608
152,0.363597153563657
153,0.3435728591911784
154,0.3480770771703616
155,0.38701947022442124
156,0.3234582004887276
157,0.37367358468772
158,0.3772679490494887
159,0.3557997096535063
160,0.35214773907053054
161,0.2836821970289148
162,0.2707795240370652
163,0.3764355237407059
164,0.377649398703318
165,0.3504082598936262
166,0.4231156276106746
167,0.3865675956091267
168,0.3423459273836406
169,0.3938980461879109
170,0.36378452499793495
171,0.40886015488121785
172,0.4116562578495221
173,0.43238298365738803
174,0.3298031325731117
175,0.34954643535984176
176,0.4633652144129385
177,0.49430025280435086
178,0.3313018661260078
179,0.4549403999895603
180,0.3986747165974087
181,0.3515083117296343
182,0.3828559866034545
183,0.4011750791804079
184,0.3335094100179602
185,0.3928500243187546
186,0.44865915866013734
187,0.3708182387406253
188,0.2891419027993552
189,0.3707624456155907
190,0.42544208767631625
191,0.3431285112934154
192,0.393157216826898
193,0.4144738128354682
194,0.31046024432548175
195,0.3526348664639948
196,0.4365912898790617
197,0.2504261367562454
198,0.40228403929378853
199,0.42437271338396293
200,0.38075314204680627
201,0.40516869907253183
202,0.4005108916054253
203,0.3868788025775195
204,0.3831294472159874
205,0.33958413831982137
206,0.3819825774083247
207,0.3249572724570857
208,0.3556867119430204
209,0.3401791049275616
210,0.3942930385040506
211,0.3804358111778479
212,0.32630969802265647
213,0.40437019866953455
214,0.3264808499826914
215,0.3738586050558711
216,0.3221395127711904
217,0.4567338462181939
218,0.3892716923335881
219,0.36299906551657274
220,0.3928920423454183
221,0.4018678808755948
222,0.3042405637809182
223,0.40933948228300765
224,0.3888268492281771
225,0.44472273404337637
226,0.399176396881964
227,0.36412230608034984
228,0.3728611579742205
229,0.440294156180619
230,0.3350749828269363
231,0.387050928322958
232,0.4356249727213297
233,0.35767045064576874
234,0.37235615299200725
235,0.3332224248655094
236,0.3069365549132035
237,0.3588791144584066
238,0.3279004415064311
239,0.4648373699468078
240,0.2954001139945247
241,0.4043151742745946
242,0.4430091440658546
243,0.44052540891143027
244,0.37884325399498425
245,0.35201448215414294
246,0.41289978067682737
247,0.3918519358836557
248,0.4231126841899042
249,0.34781994424840335
250,0.4438590561466756
251,0.4289376446850973
252,0.38641410641219825
253,0.40974560161244533
254,0.40223941345785896
255,0.3654619868746247
256,0.4297105232444096
257,0.3991139314475938
258,0.40676130891406
259,0.4371100350026274
260,0.3498612273120694
261,0.3784653895633331
262,0.40691973431699596
263,0.3092814140910602
264,0.453092737354893
265,0.3547052146722709
266,0.4100981520652184
267,0.3704958467740545
268,0.43557204881015305
269,0.41470573889069784
270,0.3499622648651103
271,0.3750814743614253
272,0.38372771211494194
273,0.3440893091605573
274,0.4394885532767172
275,0.4086961988318947
276,0.41992902453954883
277,0.3312363372406348
278,0.40342220295661774
279,0.32652864134048676
280,0.3868230734937341
281,0.3878496572977384
282,0.433832057783829
283,0.42813501761986095
284,0.46226774334811666
285,0.36872766677827074
286,0.4033279924144881
287,0.39234045103814996
288,0.3473356744581124
289,0.38216854609622924
290,0.3819413588636053
291,0.3792023665926019
292,0.442049176970714
293,0.3772264994902016
294,0.4056963743622649
295,0.3226089872476161
296,0.29974281736965674
297,0.3708581884295279
298,0.4118941004366011
299,0.36383764153740694
300,0.34216140274934087
301,0.36035052612251994
302,0.44126267181278545
303,0.31815537340495437
304,0.39005109160020124
305,0.317979054265419
306,0.44227938919293863
307,0.39153342784013917
308,0.47756119368577976
309,0.47043850485665534
310,0.4143810516108586
311,0.3863336496470679
312,0.3514127114265462
313,0.33053124556474645
314,0.31523154428430633
315,0.3444869178837735
316,0.4456391311257023
317,0.290165390920238
318,0.39281421147532275
319,0.43586678686649255
320,0.38694543915820734
321,0.42133388490680407
322,0.40761320485422514
323,0.3669028095199825
324,0.4409552600299512
325,0.41126290379618946
326,0.376414044933463
327,0.44890226653907445
328,0.4486983216441345
329,0.351341565134078
330,0.29836362902409547
331,0.2883590181983729
332,0.3303821992664792
333,0.42586219969776423
334,0.4233766640934863
335,0.4407054425240603
336,0.3718407765004848
337,0.29783535996238064
338,0.4422393579640986
339,0.4053534498383254
340,0.2070405197664824
341,0.42819543576540314
342,0.43015111756955776
343,0.33696833539215154
344,0.27061037473086336
345,0.3506030651634491
346,0.4083472908187265
347,0.4256480082347461
348,0.43396075801884554
349,0.4489841952424228
350,0.37421842468622124
351,0.44055548533259475
352,0.4151995424976368
353,0.4006055047231594
354,0.4188625383115169
355,0.3283021455373227
356,0.4158510837020204
357,0.4699292821505297
358,0.3473161262449137
359,0.36741725187950086
360,0.3322348203751943
361,0.4165128179170912
362,0.44020268727606465
363,0.30329175262622826
364,0.34620867568426406
365,0.46194338136841123
366,0.37981389569240037
367,0.3456213311568677
368,0.4001148665570521
369,0.4462854693401566
370,0.341702350513667
371,0.25279559244859157
372,0.3261303062646371
373,0.3884990875195437
374,0.43068421015635644
375,0.4097294455093862
376,0.41758084056668754
377,0.34799047471351735
378,0.4044895076888225
379,0.425380441498885
380,0.4416153041300865
381,0.34005648574939396
382,0.36019693037537304
383,0.32427022880800105
384,0.3485108250090039
385,0.46560100756878625
386,0.41513254378629005
387,0.424149362763558
388,0.3163433890133398
389,0.46806985698039094
390,0.5189572893311105
391,0.31189535453579503
392,0.4185212706103591
393,0.3718901384587372
394,0.3593187948133643
395,0.32933566395557407
396,0.34622597203236327
