final,best,alpha
-763.7971801757812,-973.549560546875,117
-668.4403686523438,-848.8170776367188,114
-674.5114135742188,-901.2831420898438,110
-805.2122802734375,-917.9542236328125,117
-695.0521850585938,-812.765625,108
