final,best,alpha
-740.22021484375,-819.1499633789062,10
-609.3495483398438,-674.30517578125,15
-433.2768249511719,-711.636474609375,10
-681.094970703125,-741.2305297851562,17
-760.31494140625,-777.6989135742188,17
