final,best,alpha
-802.4219970703125,-956.396728515625,404
-694.0592041015625,-848.69873046875,403
-646.3751220703125,-905.5857543945312,371
-781.50146484375,-811.5306396484375,403
-687.0427856445312,-810.528076171875,422
