final,best,alpha
-497.58856201171875,-731.194580078125,97
-565.2443237304688,-619.0654907226562,97
-676.6588745117188,-721.45263671875,101
-667.4097290039062,-667.4097290039062,88
-737.5149536132812,-748.240478515625,83
