t,Z
1,0.6164810454137303
2,0.5376626693312683
3,0.5863731264737717
4,0.4252447212613642
5,0.7521455632239228
6,0.7520892850654624
7,0.5747653837886436
8,0.7473924939984407
9,0.7629813195037626
10,0.16999447448736993
11,0.6911753696843609
12,0.755015519341636
13,0.5828769525369469
14,0.7914223333111053
15,0.5600471798737052
16,0.7052636743380036
17,0.5423634004173841
18,0.4499195298848136
19,0.5675011417655312
20,0.7757042359556123
21,0.619488707332791
22,0.7323031197674341
23,0.41029272078511364
24,0.6341674842607276
25,0.7642568251428745
26,0.7202330630198436
27,0.5193728046247801
28,0.7003075931535433
29,0.6674359076286136
30,0.7166503006045737
31,0.8139499900380864
32,0.6797479946770149
33,0.6966396640327852
34,0.6638922356539608
35,0.46410163490314793
36,0.5738695590682978
37,0.6749751097913057
38,0.6935879811539764
39,0.730007424873416
40,0.587512380069588
41,0.7992166190097465
42,0.690353942969991
43,0.23703288334874745
44,0.6961668206049405
45,0.2531628149370822
46,0.620877226520301
47,0.3808056005256157
48,0.6969306241782239
49,0.5631354079869982
50,0.7703531040577865
51,0.5738745580358903
52,0.8113543754459304
53,0.6202043937315503
54,0.4041233894439024
55,0.6957625162200647
56,0.6477016214542144
57,0.11691180496909792
58,0.5581403266407495
59,0.7088241205744398
60,0.7592602411556896
61,0.6366163090302316
62,0.5594087110817003
63,0.7366840185548229
64,0.5642928685709813
65,0.6223906431493856
66,0.42754812836148093
67,0.4670788359965543
68,0.5487463124439333
69,0.5256289332457036
70,0.7599319891949831
71,0.7032714346491192
72,0.6721536658982822
73,0.7607636491769744
74,0.6929972402415282
75,0.6715862844623168
76,0.6607133345835423
77,0.3562526352287782
78,0.7352263426368033
79,0.5949255620852594
80,0.6140136328717177
81,0.6674651984580665
82,0.8003675762396708
83,0.11103288882834471
84,0.6154904507643619
85,0.40744634653241835
86,0.6542542811448012
87,0.531066289730569
88,0.5991388117320143
89,0.8114477270138333
90,0.4317771230933225
91,0.5474138492228304
92,0.41305624306903665
93,0.3428164047995629
94,0.4830591573390633
95,0.6315094231666724
96,0.3620006280822466
97,0.7395229858862116
98,0.3653970281372624
99,0.14980388566687103
100,0.43343686135130544
101,0.7773204436485154
102,0.561071590768008
103,0.7161530123027657
104,0.8248976637211937
105,0.7924970070596407
106,0.7390375051700435
