method,tau,trial,success,hit_step,hit_alpha
SA,1000.0,19,false,-1,1.0
SA,1000.0,20,false,-1,1.0
SA,1000.0,21,false,-1,1.0
SA,1000.0,22,false,-1,1.0
SA,1000.0,23,false,-1,1.0
SA,1000.0,24,false,-1,1.0
SA,1000.0,25,false,-1,1.0
SA,1000.0,26,false,-1,1.0
SA,1000.0,27,false,-1,1.0
SA,1000.0,28,true,35,3.5e-5
SA,1000.0,29,false,-1,1.0
SA,1000.0,30,false,-1,1.0
SA,1000.0,31,false,-1,1.0
SA,1000.0,32,true,46,4.6e-5
SA,1000.0,33,true,56,5.6e-5
SA,1000.0,34,false,-1,1.0
SA,1000.0,35,false,-1,1.0
SA,1000.0,36,true,38,3.8e-5
SA,1000.0,37,false,-1,1.0
SA,1000.0,38,false,-1,1.0
SA,1000.0,39,false,-1,1.0
SA,1000.0,40,false,-1,1.0
SA,1000.0,41,false,-1,1.0
SA,1000.0,42,true,53,5.3e-5
SA,1000.0,43,true,17,1.7e-5
SA,1000.0,44,false,-1,1.0
SA,1000.0,45,false,-1,1.0
SA,1000.0,46,true,30,3.0e-5
SA,1000.0,47,false,-1,1.0
SA,1000.0,48,true,31,3.1e-5
SA,1000.0,49,false,-1,1.0
SA,1000.0,50,false,-1,1.0
SA,1000.0,51,false,-1,1.0
SA,1000.0,52,false,-1,1.0
SA,1000.0,53,false,-1,1.0
SA,1000.0,54,false,-1,1.0
SA,1000.0,55,false,-1,1.0
SA,1000.0,56,false,-1,1.0
SA,1000.0,57,false,-1,1.0
SA,1000.0,58,false,-1,1.0
SA,1000.0,59,false,-1,1.0
SA,1000.0,60,false,-1,1.0
SA,1000.0,61,false,-1,1.0
SA,1000.0,62,false,-1,1.0
SA,1000.0,63,false,-1,1.0
SA,1000.0,64,false,-1,1.0
SA,1000.0,65,false,-1,1.0
SA,1000.0,66,false,-1,1.0
SA,1000.0,67,false,-1,1.0
SA,1000.0,68,false,-1,1.0
SA,1000.0,69,true,16,1.6e-5
SA,1000.0,70,false,-1,1.0
SA,1000.0,71,true,17,1.7e-5
SA,1000.0,72,false,-1,1.0
SA,1000.0,73,false,-1,1.0
SA,1000.0,74,false,-1,1.0
SA,1000.0,75,false,-1,1.0
SA,1000.0,76,false,-1,1.0
SA,1000.0,77,false,-1,1.0
SA,1000.0,78,true,16,1.6e-5
SA,1000.0,79,false,-1,1.0
SA,1000.0,80,false,-1,1.0
SA,1000.0,81,true,36,3.6e-5
SA,1000.0,82,false,-1,1.0
SA,1000.0,83,false,-1,1.0
SA,1000.0,84,false,-1,1.0
SA,1000.0,85,false,-1,1.0
SA,1000.0,86,true,35,3.5e-5
SA,1000.0,87,false,-1,1.0
SA,1000.0,88,false,-1,1.0
SA,1000.0,89,false,-1,1.0
SA,1000.0,90,true,12,1.2e-5
