Step,BestEnergy
1,-28.774000000000015
2,-39.97000000000002
3,-39.97000000000002
4,-39.97000000000002
5,-39.97000000000002
6,-39.97000000000002
7,-46.16800000000001
8,-46.16800000000001
9,-46.16800000000001
10,-46.16800000000001
11,-46.16800000000001
12,-59.76400000000003
13,-59.76400000000003
14,-59.76400000000003
15,-59.76400000000003
16,-83.24200000000003
17,-83.24200000000003
18,-83.24200000000003
19,-83.24200000000003
20,-83.24200000000003
21,-83.24200000000003
22,-83.24200000000003
23,-83.24200000000003
24,-83.24200000000003
25,-83.24200000000003
26,-83.24200000000003
27,-140.854
28,-315.07999999999976
29,-418.2919999999996
30,-475.2979999999995
31,-475.2979999999995
32,-475.2979999999995
33,-475.2979999999995
34,-475.2979999999995
35,-495.09999999999945
36,-495.09999999999945
37,-495.09999999999945
38,-495.09999999999945
39,-495.09999999999945
40,-495.09999999999945
41,-495.09999999999945
42,-495.09999999999945
43,-495.09999999999945
44,-495.09999999999945
45,-495.09999999999945
46,-495.09999999999945
47,-495.09999999999945
48,-495.09999999999945
49,-495.09999999999945
50,-495.09999999999945
51,-495.09999999999945
52,-495.09999999999945
53,-495.09999999999945
54,-495.09999999999945
55,-495.09999999999945
56,-495.09999999999945
57,-495.09999999999945
58,-495.09999999999945
59,-495.09999999999945
60,-495.09999999999945
61,-495.09999999999945
62,-495.09999999999945
63,-495.09999999999945
64,-495.09999999999945
65,-495.09999999999945
66,-495.09999999999945
67,-495.09999999999945
68,-495.09999999999945
69,-495.09999999999945
70,-495.09999999999945
71,-495.09999999999945
72,-495.09999999999945
73,-495.09999999999945
74,-495.09999999999945
75,-495.09999999999945
76,-495.09999999999945
77,-495.09999999999945
78,-495.09999999999945
79,-495.09999999999945
80,-495.09999999999945
81,-495.09999999999945
82,-495.09999999999945
83,-495.09999999999945
84,-495.09999999999945
85,-495.09999999999945
86,-495.09999999999945
87,-495.09999999999945
88,-495.09999999999945
89,-495.09999999999945
90,-495.09999999999945
91,-495.09999999999945
92,-495.09999999999945
93,-495.09999999999945
94,-495.09999999999945
95,-495.09999999999945
96,-495.09999999999945
97,-495.09999999999945
