Step,BestEnergy
1,-28.77399999999998
2,-34.228000000000065
3,-39.96999999999999
4,-39.96999999999999
5,-39.96999999999999
6,-39.96999999999999
7,-39.96999999999999
8,-39.96999999999999
9,-39.96999999999999
10,-39.96999999999999
11,-52.83399999999993
12,-52.83400000000001
13,-52.83400000000001
14,-67.16200000000003
15,-67.16200000000003
16,-67.16200000000003
17,-67.16200000000003
18,-67.16200000000003
19,-67.16200000000003
20,-67.16200000000003
21,-67.16200000000003
22,-67.23800000000003
23,-67.23800000000003
24,-67.23800000000003
25,-67.23800000000003
26,-67.23800000000003
27,-67.23800000000003
28,-67.23800000000003
29,-67.23800000000003
30,-67.23800000000003
31,-67.23800000000003
32,-67.23800000000003
33,-67.23800000000003
34,-67.23800000000003
35,-67.23800000000003
36,-67.23800000000003
37,-67.23800000000003
38,-67.23800000000003
39,-67.23800000000003
40,-67.23800000000003
41,-67.23800000000003
42,-67.23800000000003
43,-67.23800000000003
44,-67.23800000000003
45,-67.23800000000003
46,-67.23800000000003
47,-67.23800000000003
48,-67.23800000000003
49,-67.23800000000003
50,-67.23800000000003
51,-67.23800000000003
52,-67.23800000000003
53,-67.23800000000003
54,-67.23800000000003
55,-67.23800000000003
56,-67.23800000000003
57,-67.23800000000003
58,-67.23800000000003
59,-67.23800000000003
60,-67.23800000000003
61,-67.23800000000003
62,-67.23800000000003
63,-67.23800000000003
64,-67.23800000000003
65,-67.23800000000003
66,-75.04000000000012
67,-75.04000000000012
68,-75.04000000000012
69,-75.04000000000012
70,-75.04000000000012
71,-75.04000000000012
72,-75.04000000000012
73,-75.04000000000012
74,-75.04000000000012
75,-75.04000000000012
76,-75.04000000000012
77,-75.04000000000012
78,-75.04000000000012
79,-75.04000000000012
80,-75.04000000000012
81,-75.04000000000012
82,-75.04000000000012
83,-75.04000000000012
84,-75.04000000000012
85,-75.04000000000012
86,-75.04000000000012
87,-75.04000000000012
88,-75.04000000000012
89,-75.04000000000012
90,-75.04000000000012
91,-75.04000000000012
92,-75.04000000000012
93,-75.04000000000012
94,-75.04000000000012
95,-75.04000000000012
96,-75.04000000000012
97,-75.04000000000012
98,-75.04000000000012
99,-75.04000000000012
100,-75.04000000000012
101,-75.04000000000012
102,-75.04000000000012
103,-75.04000000000012
104,-75.04000000000012
105,-75.04000000000012
106,-75.04000000000012
107,-75.04000000000012
108,-75.04000000000012
109,-75.04000000000012
110,-75.04000000000012
111,-75.04000000000012
112,-75.04000000000012
113,-75.04000000000012
114,-75.04000000000012
115,-75.04000000000012
116,-75.04000000000012
117,-75.04000000000012
118,-75.04000000000012
119,-75.04000000000012
120,-75.04000000000012
121,-75.04000000000012
122,-75.04000000000012
123,-75.04000000000012
124,-75.04000000000012
125,-75.04000000000012
126,-75.04000000000012
127,-75.04000000000012
128,-75.04000000000012
129,-75.04000000000012
130,-75.04000000000012
131,-75.04000000000012
132,-75.04000000000012
133,-75.04000000000012
134,-75.04000000000012
135,-75.04000000000012
136,-75.04000000000012
137,-75.04000000000012
138,-75.04000000000012
139,-75.04000000000012
140,-75.04000000000012
141,-75.04000000000012
142,-75.04000000000012
143,-75.04000000000012
144,-75.04000000000012
145,-75.04000000000012
146,-75.04000000000012
147,-75.04000000000012
148,-75.04000000000012
149,-75.04000000000012
150,-75.04000000000012
151,-75.04000000000012
152,-75.04000000000012
153,-75.04000000000012
154,-75.04000000000012
155,-75.04000000000012
156,-75.04000000000012
157,-75.04000000000012
158,-75.04000000000012
159,-75.04000000000012
160,-75.04000000000012
161,-75.04000000000012
162,-75.04000000000012
163,-75.04000000000012
164,-75.04000000000012
165,-75.04000000000012
166,-75.04000000000012
167,-75.04000000000012
168,-75.04000000000012
169,-75.04000000000012
170,-75.04000000000012
171,-75.04000000000012
172,-75.04000000000012
173,-75.04000000000012
174,-75.04000000000012
175,-75.04000000000012
176,-75.04000000000012
177,-75.04000000000012
178,-75.04000000000012
179,-75.04000000000012
180,-75.04000000000012
181,-75.04000000000012
182,-75.04000000000012
183,-75.04000000000012
184,-75.04000000000012
185,-75.04000000000012
186,-75.04000000000012
187,-75.04000000000012
188,-75.04000000000012
189,-75.04000000000012
190,-75.04000000000012
191,-75.04000000000012
192,-75.04000000000012
193,-75.04000000000012
194,-75.04000000000012
195,-75.04000000000012
196,-75.04000000000012
197,-75.04000000000012
198,-75.04000000000012
199,-75.04000000000012
200,-75.04000000000012
201,-75.04000000000012
202,-75.04000000000012
203,-75.04000000000012
204,-75.04000000000012
205,-75.04000000000012
206,-75.04000000000012
207,-75.04000000000012
208,-75.04000000000012
209,-75.04000000000012
210,-75.04000000000012
211,-75.04000000000012
212,-75.04000000000012
213,-75.04000000000012
214,-75.04000000000012
215,-75.04000000000012
216,-75.04000000000012
217,-75.04000000000012
218,-75.04000000000012
219,-75.04000000000012
220,-75.04000000000012
221,-75.04000000000012
222,-75.04000000000012
223,-75.04000000000012
224,-75.04000000000012
225,-75.04000000000012
226,-75.04000000000012
227,-75.04000000000012
228,-75.04000000000012
229,-75.04000000000012
230,-75.04000000000012
231,-75.04000000000012
232,-75.04000000000012
233,-75.04000000000012
234,-75.04000000000012
235,-75.04000000000012
236,-75.04000000000012
237,-75.04000000000012
238,-75.04000000000012
239,-75.04000000000012
240,-75.04000000000012
241,-75.04000000000012
242,-75.04000000000012
243,-75.04000000000012
244,-75.04000000000012
245,-75.04000000000012
246,-75.04000000000012
247,-75.04000000000012
248,-75.04000000000012
249,-75.04000000000012
250,-75.04000000000012
251,-75.04000000000012
252,-75.04000000000012
253,-75.04000000000012
254,-75.04000000000012
255,-75.04000000000012
256,-75.04000000000012
257,-75.04000000000012
258,-75.04000000000012
259,-75.04000000000012
260,-75.04000000000012
261,-75.04000000000012
262,-75.04000000000012
263,-75.04000000000012
264,-75.04000000000012
265,-75.04000000000012
266,-75.04000000000012
267,-75.04000000000012
268,-75.04000000000012
269,-75.04000000000012
270,-75.04000000000012
271,-75.04000000000012
272,-75.04000000000012
273,-75.04000000000012
274,-75.04000000000012
275,-75.04000000000012
276,-75.04000000000012
277,-75.04000000000012
278,-75.04000000000012
279,-75.04000000000012
280,-75.04000000000012
281,-75.04000000000012
282,-75.04000000000012
283,-75.04000000000012
284,-75.04000000000012
285,-75.04000000000012
286,-75.04000000000012
287,-75.04000000000012
288,-75.04000000000012
289,-75.04000000000012
290,-75.04000000000012
291,-75.04000000000012
292,-75.04000000000012
293,-75.04000000000012
294,-75.04000000000012
295,-75.04000000000012
296,-75.04000000000012
297,-75.04000000000012
298,-75.04000000000012
299,-75.04000000000012
300,-75.04000000000012
301,-75.04000000000012
302,-75.04000000000012
303,-75.04000000000012
304,-75.04000000000012
305,-75.04000000000012
306,-75.04000000000012
307,-75.04000000000012
308,-75.04000000000012
309,-75.04000000000012
310,-75.04000000000012
311,-75.04000000000012
312,-75.04000000000012
313,-75.04000000000012
314,-75.04000000000012
315,-75.04000000000012
316,-75.04000000000012
317,-75.04000000000012
318,-75.04000000000012
319,-75.04000000000012
320,-75.04000000000012
321,-75.04000000000012
322,-75.04000000000012
323,-75.04000000000012
324,-75.04000000000012
325,-75.04000000000012
326,-75.04000000000012
327,-75.04000000000012
328,-75.04000000000012
329,-75.04000000000012
330,-75.04000000000012
331,-75.04000000000012
332,-75.04000000000012
333,-75.04000000000012
334,-75.04000000000012
335,-75.04000000000012
336,-75.04000000000012
337,-75.04000000000012
338,-75.04000000000012
339,-75.04000000000012
340,-75.04000000000012
341,-75.04000000000012
342,-75.04000000000012
343,-75.04000000000012
344,-75.04000000000012
345,-75.04000000000012
346,-75.04000000000012
347,-75.04000000000012
348,-75.04000000000012
349,-75.04000000000012
350,-75.04000000000012
351,-75.04000000000012
352,-75.04000000000012
353,-75.04000000000012
354,-75.04000000000012
355,-75.04000000000012
356,-75.04000000000012
357,-75.04000000000015
358,-75.04000000000015
359,-75.04000000000015
360,-75.04000000000015
361,-75.04000000000015
362,-75.04000000000015
363,-75.04000000000015
364,-75.04000000000015
365,-83.15799999999994
366,-83.15799999999994
367,-83.15799999999994
368,-83.15799999999994
369,-83.15799999999994
370,-83.15799999999994
371,-83.15799999999994
372,-83.15799999999994
373,-83.15799999999994
374,-83.15799999999994
375,-83.15799999999994
376,-83.15799999999994
377,-83.15799999999994
378,-83.15799999999994
379,-83.15799999999994
380,-83.15799999999994
381,-83.15799999999994
382,-83.15799999999994
383,-83.15799999999994
384,-83.15799999999994
385,-83.15799999999994
386,-83.15799999999994
387,-83.15799999999994
388,-83.15799999999994
389,-83.15799999999994
390,-83.15799999999994
391,-83.15799999999994
392,-83.15799999999994
393,-83.15799999999994
394,-83.15799999999994
395,-83.15799999999994
396,-83.15799999999994
397,-83.15799999999994
398,-83.15799999999994
399,-83.15799999999994
400,-83.15799999999994
401,-83.15799999999994
402,-83.15799999999994
403,-83.15799999999994
404,-83.15799999999994
405,-83.15799999999994
406,-83.15799999999994
407,-83.15799999999994
408,-83.15799999999994
409,-83.15799999999994
410,-83.15799999999994
411,-83.15799999999994
412,-83.15799999999994
413,-83.15799999999994
414,-83.15799999999994
415,-83.15799999999994
416,-83.15799999999994
417,-83.15799999999994
418,-83.15799999999994
419,-83.15799999999994
420,-83.15799999999994
421,-83.15799999999994
422,-83.15799999999994
423,-83.15799999999994
424,-83.15799999999994
425,-83.15799999999994
426,-83.15799999999994
427,-83.15799999999994
428,-83.15799999999994
429,-83.15799999999994
430,-83.15799999999994
431,-83.15799999999994
432,-83.15799999999994
433,-83.15799999999994
434,-83.15799999999994
435,-83.15799999999994
436,-83.15799999999994
437,-83.15799999999994
438,-83.15799999999994
439,-83.15799999999994
440,-83.15799999999994
441,-83.15799999999994
442,-83.15799999999994
443,-83.15799999999994
444,-83.15799999999994
445,-83.15799999999994
446,-83.15799999999994
447,-83.15799999999994
448,-83.15799999999994
449,-83.15799999999994
450,-83.15799999999994
451,-83.15799999999994
452,-83.15799999999994
453,-83.15799999999994
454,-83.15799999999994
455,-83.15799999999994
456,-83.15799999999994
457,-83.15799999999994
458,-83.15799999999994
459,-83.15799999999994
460,-83.15799999999994
461,-83.15799999999994
462,-83.15799999999994
463,-83.15799999999994
464,-83.15799999999994
465,-83.15799999999994
466,-83.15799999999994
