t,M
1,0.7029307904126697
2,0.6871575882585446
3,0.6199901787066042
4,0.6107202807988593
5,0.6406203887128276
6,0.7312736893521433
7,0.6566603144851553
8,0.5660202767021488
9,0.5832780994921964
10,0.619324280194215
11,0.6288156280397053
12,0.6352016180274231
13,0.6781053312101499
14,0.6024146278230642
15,0.5805179465318311
16,0.6891833362209804
17,0.672624727483854
18,0.621374532886072
19,0.6918446501570865
20,0.6913061113695625
21,0.6920806083334222
22,0.6543079834627845
23,0.6959998288745577
24,0.6584672620947603
25,0.6690230471026163
26,0.5986750201710836
27,0.6363557255667615
28,0.6601016166309751
29,0.6584474972312293
30,0.651281043557786
31,0.6986198588119961
32,0.6095302122071928
33,0.6721556428819371
34,0.6662028006263734
35,0.6673751397076283
36,0.6418318721983043
37,0.6255833317535607
38,0.6549201209739668
39,0.625825534205874
40,0.65802442350545
41,0.676897159135583
42,0.6720977350897046
43,0.6176136524702063
44,0.6658251237203616
45,0.6887538908034749
46,0.6554162919764203
47,0.5901737035797421
48,0.6285890291859637
49,0.7063082333809229
50,0.6404930679452311
51,0.6984152070532813
52,0.681495068261365
53,0.6205678712390028
54,0.6349374852245588
55,0.6694469525626097
56,0.6101733744927579
57,0.6672189206192621
58,0.5751087164550303
59,0.6645032092568084
60,0.6747185054694277
61,0.6202724158574228
62,0.6675215125717707
63,0.6308109085339856
64,0.6885500831604325
65,0.6853377138646811
66,0.6538993434617394
67,0.7453249018183369
68,0.7132949839410806
69,0.683005404731593
70,0.6248675394412455
71,0.6647065541784944
72,0.7065289113209476
73,0.5926383859796435
74,0.6783600761255657
75,0.6531548868712121
76,0.6632095987572416
77,0.598065087555265
78,0.59329003425965
79,0.6880923835853285
80,0.6449970433753291
81,0.6352271761789374
82,0.6371794492559276
83,0.6591491748616589
84,0.6844500778672904
85,0.6400091010814306
86,0.654840442223578
87,0.683429540697149
88,0.6179250199969648
89,0.6667258066055182
90,0.6623370404426844
91,0.6642336453947331
92,0.6451864947356208
93,0.6502943397477219
94,0.6550152353088879
95,0.704708065965038
96,0.7106157801014134
97,0.6530554066025803
98,0.675227480333656
99,0.6560707459234242
100,0.6597897771793815
101,0.6751919922830365
102,0.6706368298460896
103,0.708672269758104
104,0.6897785630522504
105,0.7059273881255246
106,0.6415907392659842
107,0.6062572032844219
108,0.6570051162329615
109,0.7138919359870411
