t,M
1,0.22524193153180117
2,-0.280329061022802
3,-0.10180968742259869
4,0.11824436355603865
5,-0.13583873512566727
6,0.02344801595277759
7,-0.09380573977390563
8,0.08100087301901536
9,-0.06509129290814616
10,0.20771513354423757
11,-0.03511538643979174
12,-0.1966917150874024
13,-0.005693149598722922
14,-0.05487664805696906
15,-0.10318391619456418
16,0.14387275936558722
17,0.11732136188845627
18,-0.12921528049241443
19,0.07509397918314864
20,-0.014645020976350728
21,0.24446756079263918
22,0.10653377184986457
23,-0.12603515599682424
24,-0.17475194979749828
25,0.044687702225796655
26,-0.2342186530831044
27,-0.0793885125509149
28,0.1026627063054333
29,-0.026751224150189164
30,0.06855892370963121
31,-0.22693327633672117
32,0.18627117575581037
33,0.14771489389752232
34,-0.11259373191864532
35,-0.08793262765278474
36,-0.07905105530536174
37,-0.3279372454651423
38,-0.21738119056058877
39,-0.1586608595207031
40,-0.0005700281617544027
41,-0.013330240834144124
42,0.032069419160875676
43,-0.13481235185046084
44,-0.07317718866829377
45,0.06799142857380894
46,-0.010152789691539864
47,-0.1492248264797053
48,-0.08759582021519462
49,-0.3171745521729569
50,0.12074042767720776
51,0.23898909979664182
52,-0.08182543252971157
53,-0.14117890419216247
54,0.13065055336491516
55,0.037655707934730914
56,0.07493325119357418
57,0.0031020339264469774
58,0.1357185552036565
59,0.12473047919232025
60,-0.015605899544591607
61,0.05859488404240553
62,-0.03510437124478833
63,-0.03533378198534666
64,-0.015805566693192552
65,-0.1442720839632753
66,0.007574882725250354
67,0.1282346789996225
68,0.09572113246430733
69,-0.09692815291384245
70,-0.12426711578775348
71,0.05362120194227043
72,0.1168028281233657
73,0.11273523450817542
74,-0.12251772066519076
75,0.047988033668851196
76,-0.23598767380804067
77,-0.002039413933814124
78,0.056454158164920755
79,0.049301417277388314
80,-0.18747334198130297
81,-0.05465723106082284
82,-0.0805130068332252
83,0.08806720240824872
84,-0.10512390038594432
85,0.009570977240448036
86,-0.06098047867920037
87,-0.16947795115948297
88,0.0622178094550261
89,-0.22649990986207497
90,-0.060849836403733704
91,-0.1023600294569618
92,-0.19534831031777977
93,0.11999824523916383
94,-0.026460636457735276
95,0.2667580428600253
96,-0.2553493870391548
97,0.06659410251497512
98,-0.05416844162338193
99,0.05086281975390901
100,-0.08289119011406264
101,-0.177923800842347
102,-0.0005522636469657271
103,0.01478454269158857
104,-0.005447781392867703
105,-0.14296027024612679
106,0.024431299669181346
107,0.11013902967084971
108,0.21978895641102073
109,0.1772453137802495
110,0.14061847427360022
111,0.04144568472002766
112,-0.12974112833230633
113,0.20146848928092823
114,-0.051719631919842884
115,-0.04706713916931206
116,-0.3119794843215313
117,0.08861910031490265
118,0.1442321507717246
119,-0.028934121871812823
120,0.14022542881530248
121,0.20363094985597588
122,0.1926491633505501
123,0.2084371050296677
124,0.216249690443715
125,-0.052807538896309236
126,0.010047334027705168
127,-0.052988691413138375
128,-0.09836440604876472
129,-0.044378222823326055
130,-0.08602198546147653
131,-0.08550302692807202
132,-0.027324923970233162
