t,Z
1,1.0
2,0.7000000000000002
3,0.39999997790527475
4,0.3998977270029826
5,0.49999999999995437
6,0.4
7,0.3000000169250655
8,0.4
9,0.8998605579936321
10,0.5999999996612331
11,0.4000000000000227
12,0.7999995080476422
13,0.5999956573576724
14,0.7999999999999999
15,0.39435195922760735
16,0.6
17,0.5
18,0.39565772705023317
19,0.499999920504961
20,0.6
21,0.3
22,0.5
23,0.18867668872580454
24,0.6989812988535529
25,0.3000000004903418
26,0.6997199656632164
27,0.6997793697421096
28,0.5999999986776094
29,0.7999999999969771
30,0.4000000000253537
31,0.6000000000291467
32,0.5004802467546474
33,0.8000000000000007
34,0.6
35,0.6000138426730637
36,1.1819692800081477e-11
37,0.5999999986069426
38,0.5
39,0.5999881954342415
40,0.6
41,0.7999999999999925
42,0.5999999999999995
43,0.4000872275884314
44,0.6999990032621886
45,0.5999925381060196
46,0.10000000000000094
47,0.40159576243709216
48,0.49990436786947523
49,0.30000397332552897
50,0.4357606161237372
51,0.49999999999959366
52,0.5000002363054117
53,0.49998860797166883
54,0.5000000000000266
55,0.4
56,0.5999589647164928
57,0.400000004143655
58,0.6000000000000091
59,0.49999999899352865
60,0.4000000003944314
61,0.6
62,0.10885013551493287
63,0.5691438054005563
64,0.4999993576554068
65,0.6399393814308839
66,0.5000011021366071
67,0.46225233833567314
68,0.6000000000010031
69,0.8000000000006974
70,0.8701077124632743
71,0.5999999999998202
72,0.4000872275884314
73,0.1
74,0.6
75,0.6002032136624738
76,0.3209600671156138
77,0.2999999998024515
78,0.5999797163510024
79,0.2
80,0.4999778312155745
81,0.40477260555483896
82,0.399999999999921
83,0.6999999732204523
84,0.5000000002129156
85,0.4
86,0.5969855432377493
87,0.39999999999999997
88,0.3
89,0.5000011037288207
90,0.599999999996389
91,0.49480677693563796
92,0.4
93,0.5000045649585128
94,0.2999999859460578
95,0.49999941260827796
96,0.4017533395129983
97,0.499999995671915
98,0.40061258653145726
99,0.7998014189582945
100,0.4041288193479515
101,0.400668555531678
102,0.27051221248058616
103,0.500000020215508
104,0.4
105,0.5001637962958297
106,0.6999999999997153
107,0.7999963646249275
108,0.5
109,0.20127213322337562
110,0.4999999953966726
111,0.5987421256492247
112,0.3600606212685941
113,0.7999538386456193
114,0.23178766533799103
115,0.5999897930159027
116,0.742089445876801
117,0.30021448822976676
118,0.6035797379344897
119,0.6
120,0.31224401321923184
121,0.7
122,0.6
123,0.4131170112021686
124,0.7
125,0.42247828785102526
126,0.5016463171385814
127,0.899999999999881
128,0.39999999999240254
129,0.7040923389744067
130,0.49999999999999967
131,0.599999974699533
132,0.40000000000330205
133,0.39999999999999997
134,0.3
135,0.6
136,0.2999999911162141
137,0.7985280261405016
138,0.3
139,0.6999999999999991
140,0.7999999999999049
141,0.5
142,0.49999999256562494
143,0.21113714048549803
144,0.39974436069799146
145,0.48593621968173856
146,0.5000000000000004
147,0.3
148,0.4000000000155642
149,0.3998210049956483
150,0.6999994447548911
151,0.8000000173821386
152,0.7804745625958166
153,0.7
154,0.20092921278904435
155,0.30001067561451256
156,0.2999988793498775
157,0.4224687222136635
158,0.49999991739617633
159,0.403014456762245
160,0.40001020689745515
161,0.5642393838762628
162,0.4999999999932184
163,0.5000000000000013
164,0.5996219570059436
165,0.3742818080190172
166,0.6000000013079856
167,0.41302181868692545
168,0.2
169,0.7014417187997974
170,0.40000000000128333
171,0.49999999840778653
172,0.7999999987349201
173,0.7999991538445523
174,0.6151709812860929
175,0.3000002132697111
176,0.20000230008358919
177,0.2999979142157126
178,0.6001238745472606
179,0.40002088160420685
180,0.8
181,0.8999753840991496
182,0.49999999999999034
183,0.29999025794208045
184,0.3999999999798545
185,0.33374545805759975
186,0.6
187,0.7000000014581971
188,0.5
189,0.20002322774769166
190,0.6999999901512217
191,0.5000000000107283
192,0.5997831623987755
193,0.6000000000000001
194,0.49983620370417087
195,0.3337480928296679
196,0.6000019083832472
197,0.4999986588974911
198,0.3
199,0.5
200,0.8
201,0.7000000000000016
202,0.40000004611089945
203,0.5
204,0.5000000000000265
205,0.5999994122882469
206,0.5999997837929938
207,0.30920928556658994
208,0.6999999999999778
209,0.6999999370747041
210,0.2999999758513811
211,0.3
212,0.5999999994417379
213,0.3702131714762754
214,0.4621725940013917
215,0.7
216,0.52405701243992
217,0.7
218,0.49999999998928324
219,0.7999967933539361
220,0.4000320884325895
221,0.6
222,0.30160261751775214
223,0.8999998344008289
224,0.3000025116018147
225,0.3000000000000613
226,0.5763985784772285
227,0.40000000002667646
228,0.39999999975822914
229,0.5133660516926892
230,0.5000000000291625
231,0.6000012063293406
232,0.6035799530585675
233,0.6790399328843868
234,0.40175389391262356
235,0.5000000000000165
236,0.5050461763451424
237,0.7999999334102037
238,0.5999999999998105
239,0.6999999999910191
240,0.5999999999771437
241,0.4000000014567914
242,0.4999952125852679
243,0.3000000004903418
