final,best,alpha
-663.6666259765625,-819.1499633789062,20
-500.0561218261719,-619.0654907226562,20
-611.9194946289062,-661.1921997070312,20
-665.9472045898438,-667.4097290039062,18
-737.5149536132812,-765.5709228515625,17
