t,M
1,0.3144742593482593
2,0.3965552391214612
3,0.4578934458174342
4,0.3539439682900284
5,0.4304156705600328
6,0.399508558100884
7,0.40500022032625116
8,0.46510980936177404
9,0.4137549714825539
10,0.4160777760697381
11,0.41571603637625765
12,0.39932288315281755
13,0.3585658341508789
14,0.40456850000560307
15,0.30431456747813107
16,0.3821887952950136
17,0.4017178938885272
18,0.2757032212096614
19,0.43119548565350685
20,0.42105741642986383
21,0.4407281370098374
22,0.40991495134030836
23,0.4350093599315475
24,0.36743668269944757
25,0.4102614404836419
26,0.5276258374005063
27,0.38524433525984664
28,0.4946044789489886
29,0.39208094629585516
30,0.4041220249743512
31,0.388430751900526
32,0.323028431540298
33,0.41620273036920014
34,0.33021030260833484
35,0.43951245283729856
36,0.4440234610513127
37,0.45167485698898574
38,0.31322400274638423
39,0.39803767469579304
40,0.3966007455517255
41,0.34406513623375823
42,0.40477715420023486
43,0.414297861617579
44,0.37818143180316977
45,0.404814429163685
46,0.4119273965133931
47,0.3875929263268789
48,0.4020647881984781
49,0.44649932313856205
50,0.3809544248670156
51,0.39513731759771437
52,0.4164205390619975
53,0.33077029633912336
54,0.44717780019710124
55,0.31749778374824184
56,0.45971389556470166
57,0.3438138541314722
58,0.3834874030892161
59,0.3920952417302278
60,0.37516086707794605
61,0.33531709423982303
62,0.42409820839219414
63,0.37235497432744724
64,0.40481942478077065
65,0.3400747306275979
66,0.37566146280041485
67,0.38872535949617615
68,0.42973898028521246
69,0.38058230537372434
70,0.3630554181040694
71,0.43869496608792663
72,0.28591139955079925
73,0.3959436019522209
74,0.38039595109185
75,0.46916999776593515
76,0.4234058241773353
77,0.3957295754845873
78,0.4612602099575545
79,0.3586771861526872
80,0.3090895290060773
81,0.4564099726664655
82,0.44308567803761295
83,0.4774212642874105
84,0.3862170883628494
85,0.4388422642446393
86,0.332005673607084
87,0.43735510950925965
88,0.45845696493444726
89,0.3392544014210551
90,0.28206918885456816
91,0.4297878050504122
92,0.43032518807104925
93,0.37816479102681544
94,0.3821700522082991
95,0.37595362454341097
96,0.3227309256981208
97,0.35217555969031855
98,0.4121835112983374
99,0.3682150058548494
100,0.4094128986979452
101,0.4066130027316069
102,0.47507910792174124
103,0.40558902264028934
104,0.4204834658283078
105,0.41427066712510513
106,0.364101927092437
107,0.3283305779586579
108,0.3749994823900523
109,0.4377010632124227
110,0.43039432673176486
111,0.40453373339793997
112,0.33874444588535674
113,0.3416377194775152
114,0.430897300951975
115,0.40673153916355687
116,0.412433497636938
117,0.4347577501425552
118,0.3859690051809629
119,0.37029346246202494
120,0.40051741171653904
121,0.3876198167502886
122,0.28838269964964564
123,0.47193283947695647
124,0.40397177779862964
125,0.41450136045874686
126,0.376326524362377
127,0.29171552256356054
128,0.36604837573116905
129,0.4411141863775486
130,0.3536363451813818
131,0.3304946363210847
132,0.3718073517277488
133,0.3820530834116905
134,0.4213993900588759
135,0.3632658412793387
136,0.3401277532694418
137,0.40177477508527615
138,0.411204548497973
139,0.4089359310795306
140,0.35695285052926545
141,0.4293535106617861
142,0.3639873562031557
143,0.3883105442922599
144,0.4164523647847457
145,0.3200820786983126
146,0.4070411434214688
147,0.3914110357382868
148,0.4472488422484076
149,0.3995691658321438
150,0.508858548589953
151,0.4465555292536466
152,0.3864215332903488
153,0.32466709331624927
154,0.29508936303419814
155,0.4102180126010063
156,0.299729900705574
157,0.3221924562954494
158,0.41047795272320087
159,0.2818143530889301
160,0.31986217942667394
161,0.31979812629970483
162,0.3926312248262717
163,0.45690409261658915
164,0.3689838159654931
165,0.3755967046043286
166,0.37541378767738337
167,0.435459225302244
168,0.4866313885863561
169,0.42738908691748584
170,0.38239459027830913
171,0.38415081218507524
172,0.45331574996813273
173,0.3674877607066461
174,0.41558056890354317
175,0.3959412125829529
176,0.3749041056654604
177,0.47678828635080756
178,0.4844036508234262
179,0.41393260375840124
180,0.31834504602001945
181,0.45996114843851965
182,0.37120013069194746
183,0.25758589677346283
184,0.3368925760109516
185,0.3570679099761493
186,0.29688860529794375
187,0.41181304456190587
188,0.38256016009316685
189,0.35048414877212414
190,0.37845841170937566
191,0.3369631614024179
192,0.4183266615766351
193,0.398522461329238
194,0.411970266364525
195,0.37053725342720606
196,0.41305895687114447
197,0.34108764704279515
198,0.4415611403664782
199,0.4504066378481178
200,0.47096838406667596
201,0.41203267899543405
202,0.504563477733173
203,0.4040834289118075
204,0.40284103864092874
205,0.4541278004942817
206,0.42615865104303396
207,0.42620617580640857
208,0.45606018571169404
209,0.41925994784308895
210,0.4707586761095133
211,0.38653215727316037
212,0.4591591895581498
213,0.23568970073419349
214,0.4040694055827301
215,0.34363526296430164
216,0.44730241104335206
217,0.46340550008039255
218,0.36193096256297447
219,0.40288609645238777
220,0.438447328879507
221,0.4558176827661712
222,0.43406640043464395
223,0.37374313559419187
224,0.32420933496432375
225,0.34521957641108075
226,0.36351097039401603
227,0.4152805615265928
228,0.4520430596793157
229,0.4341348240983144
230,0.39590255993687024
231,0.3735952108277813
232,0.4133649262501377
233,0.5138189394772082
234,0.3841093537640285
235,0.3539225336101818
236,0.3916680253613852
237,0.38437520395486474
238,0.4322183474369291
239,0.3996119266359787
240,0.42173204995800107
241,0.330975001995535
242,0.38620366008969814
243,0.4163002321723437
244,0.4743561365258909
245,0.46158849649978323
246,0.3429994878740485
247,0.41905056963229254
248,0.34784369718001157
249,0.37630696083842746
250,0.36204785321063915
251,0.3872073397823392
252,0.34973465497258305
253,0.29728001936094395
254,0.4499479217443933
255,0.33004614046998454
256,0.4278535428082474
257,0.3845348650270302
258,0.42339659476363284
259,0.4125234388523341
260,0.4697467894280071
261,0.4167335095291847
262,0.41850034535136765
263,0.4852474816537614
264,0.3223942794041928
265,0.3853760822687712
266,0.4036478360221252
267,0.2763034534995086
268,0.4134588340265506
269,0.34980159155516183
270,0.38972712379102104
271,0.4325135715583588
272,0.45230542918987
273,0.42416345068834194
274,0.39817083631148775
275,0.3878341427713685
276,0.400003313315906
277,0.34391323620767367
278,0.39674286589401797
279,0.36772977493280107
280,0.4588752113623333
281,0.3316458254933966
282,0.38172989620599657
283,0.30799531531682284
284,0.44998730549484717
285,0.45969296882169713
286,0.38979260372649366
287,0.4634024837438752
288,0.4010911965776426
289,0.3610968840198025
290,0.3889178098098344
291,0.30283165172594667
292,0.3698658844453845
293,0.3762140649960777
294,0.3453344860753027
295,0.46440413098431615
296,0.3918442508389087
297,0.3963158623251092
298,0.43217206962450483
299,0.40552052748853085
300,0.46982822335305635
301,0.4779544568082737
302,0.37739784507038004
303,0.3464309481967356
304,0.34264764929104535
305,0.4208674391572342
306,0.401090598091257
307,0.3646111539677885
308,0.4015175348938267
309,0.44928690146657657
310,0.4302532938067499
311,0.4489840980375014
312,0.39685223978017753
313,0.42086336514387496
314,0.3638812633616148
315,0.36184148418391043
316,0.3857619506880342
317,0.37330796438421415
318,0.48479512179497475
319,0.3823065508428576
320,0.40010900449758546
321,0.3384473709088006
322,0.3472232600671958
323,0.33117374473331246
324,0.3773621422941689
325,0.3523926175734704
326,0.38793335091768594
327,0.4078546343666947
328,0.38309703380463184
329,0.4102570318135808
330,0.41412005297383936
331,0.3207844512439351
332,0.4070270822943267
333,0.4576794024423508
334,0.4050605889361944
335,0.4669567699452353
336,0.3869469942394667
337,0.42977711788403306
338,0.4436152807270755
339,0.41024583884171406
340,0.36414683182639745
341,0.4044721908586586
342,0.3831246611840067
343,0.4602386309189522
344,0.4139074109149325
345,0.33916752145722745
346,0.4070236958465516
347,0.42291161303917035
348,0.3055222473879067
349,0.35649556190149284
350,0.3145081931154325
351,0.34454242707563887
352,0.49854392414034615
353,0.39128178187920315
354,0.4203930141864449
355,0.41854407269112875
356,0.38180001713873696
357,0.37601336079958253
358,0.4097510163200465
359,0.3688571886538158
360,0.3648661227825571
361,0.384382592905797
362,0.3845770462396588
363,0.474733928570383
364,0.46145098558307435
365,0.32052313603992516
366,0.41394301803952943
367,0.44810899414327016
368,0.4519186573823487
369,0.38024387174771845
370,0.404217901407822
371,0.3420233859783636
372,0.3829304527645219
373,0.39914205089749244
374,0.49871124234819314
375,0.4193029784905014
376,0.38198987445213234
377,0.398703588188086
378,0.379853566861622
379,0.4725279208874406
380,0.3765530027648516
381,0.387201661674624
382,0.4209964130700284
383,0.41638411004330145
384,0.3326611086926482
385,0.41830333277352516
386,0.33966159693921216
387,0.4745109207943313
388,0.3369314951568994
389,0.3895414634416226
390,0.3408938997900094
391,0.28171131883666223
392,0.3762178820828153
393,0.3618037911272223
394,0.4208220216988489
395,0.28949735160723084
396,0.38532616197356223
397,0.4353266332885578
