final,best,alpha
-583.1819458007812,-810.7042846679688,115
-594.2745361328125,-634.0092163085938,118
-433.2768249511719,-717.5904541015625,101
-664.8217163085938,-667.4097290039062,98
-776.4422607421875,-825.1884765625,93
