t,M
1,0.09734390236259614
2,0.1623058959115751
3,0.07209088451976065
4,0.09006023119584786
5,0.12940922041556577
6,0.1438183840413583
7,0.09135618590837001
8,0.10376682778153927
9,0.10528507235208524
10,0.13780633544119344
11,0.086308229505352
12,0.1845655141954203
13,0.07587743604377285
14,0.0953382930741007
15,0.14485602110611442
16,0.0900865400849996
17,0.15387998313210477
18,0.07582840483886286
19,0.14859792531499424
20,0.20682436757116332
21,0.1295279841655131
22,0.09236098143485262
23,0.1458711094018567
24,0.10664308613230049
25,0.09641748792146447
26,0.07434743242308772
27,0.16798484353509066
28,0.06241959161077088
29,0.13548533294357182
30,0.07027176023139134
31,0.10331782605340552
32,0.13684921199398922
33,0.12937248312917332
34,0.12688249852155822
35,0.1358940878635292
36,0.1117627514723719
37,0.12548547949224667
38,0.16917357303050762
39,0.09890715164900166
40,0.13611386218557667
41,0.15535193219723897
42,0.19437425449820672
43,0.18138725126719263
44,0.17859571287553005
45,0.16331684375429215
46,0.08055653452087828
47,0.1230493689964855
48,0.1808639177715188
49,0.07149672480319312
50,0.06573460957159839
51,0.07377063938132533
52,0.16116765175912948
53,0.13724847766600679
54,0.12942347512691027
55,0.10888439663072508
56,0.046940774685251235
57,0.16595039776727802
58,0.17511981162828888
59,0.10777631500727064
60,0.11836647092165152
61,0.06487091185150295
62,0.13557442727491978
63,0.22639195443052446
64,0.16103710255916304
65,0.14463394290506218
66,0.1002755430803662
67,0.10028254291840377
68,0.12284918871305386
69,0.1478586352822354
70,0.12160306422764815
71,0.15982733477104874
72,0.07764036722614218
73,0.08088680757292659
74,0.11057463933429051
75,0.12390227431040914
76,0.16704423941794927
77,0.1025896848033473
78,0.14280603135957057
79,0.18225895071978318
80,0.09087213133741172
81,0.13948158986752582
82,0.07066737633966842
83,0.0858110834278656
84,0.1427975686388522
85,0.08288507487498221
86,0.18523411575067245
87,0.11411951054837091
88,0.11177326916406072
89,0.09248844815411637
90,0.07131098265571446
91,0.07805687530987969
92,0.11324514769006323
93,0.09913588426193676
94,0.16275878398210875
95,0.08102999523573058
96,0.09794541059179071
97,0.18241818244698105
98,0.036374394889882866
99,0.165080326954883
100,0.09010611695785685
101,0.018761827969933108
102,0.032560608937414685
103,0.08024559168666533
104,0.11832927531757233
105,0.06661053669183335
106,0.11390444663975305
107,-0.021258054031612104
108,0.10423211140745349
109,0.15216890924113188
110,0.060720769314140624
111,0.07716295665231292
112,0.01131807365942194
113,0.07937475028212003
114,0.09306695063148358
115,0.06745587981020099
116,0.1084165431708986
117,0.11274047830775537
118,0.11488980162922449
119,0.10899809978345892
120,0.08854510251266388
121,0.10921480310775075
122,0.023134123253806534
123,-0.028898973435881672
124,0.09690483374032613
125,0.09520739177638757
126,0.06224654096541866
127,0.17181687314734495
128,0.13129520307438994
129,0.05688743632301625
