t,M
1,0.16527133869178712
2,0.08081967089642772
3,0.10683710293906618
4,0.15615292400519967
5,0.1840155969365057
6,0.08761443105858861
7,0.15161511566920557
8,0.12451159514461341
9,0.19017257021493084
10,0.2219229608811379
11,0.07076307794720267
12,0.1281997909617017
13,0.1314911510094188
14,0.17613659397446
15,0.12800283103295218
16,0.1659022656863266
17,0.1620582953436005
18,0.18039009884042956
19,0.029134049600165263
20,0.09353054355822389
21,0.09458062173749979
22,0.13438372682208316
23,0.14439604477659457
24,0.1408802288168293
25,0.10301946803244828
26,0.13946295451006133
27,0.13409981539796992
28,0.19502493314744582
29,0.14244082824319426
30,0.12384753642678696
31,0.19525785990853237
32,0.1440466064781876
33,0.10425947944885382
34,0.19440425894570082
35,0.18935478030535002
36,0.18611481331203347
37,0.16220513188527752
38,0.13531676295850206
39,0.15451435343701445
40,0.2223426225258151
41,0.07577247708069743
42,0.1361993867899251
43,0.1863678925213673
44,0.22376821313220877
45,0.09554449213203622
46,0.15341246488631402
47,0.16074931833726117
48,0.1873381645831168
49,0.1210803367582314
50,0.1790599646566917
51,0.16230918765979097
52,0.09031600472831909
53,0.15334922822680044
54,0.05568533123621083
55,0.1234557038987661
56,0.19670101049174094
57,0.15278346710191248
58,0.09559423071817252
59,0.16246297713913097
60,0.147604349605343
61,0.15107768351968767
62,0.23680643798644518
63,0.13790148224946658
64,0.09297601463279911
65,0.07772888209019839
66,0.1603684461177841
67,0.15951900613756048
68,0.16452855987193651
69,0.15825840922630058
70,0.1379808707249993
71,0.10273124975365466
72,0.10046591795926042
73,0.12065642656345651
74,0.11088259831068184
75,0.17099170600335906
76,0.15682947299859393
77,0.1621981320961729
78,0.18618145400915903
79,0.10750038684482426
80,0.10185173325220219
81,0.1680460715440158
82,0.14447535889615293
83,0.1365871425836314
84,0.2029457383726363
85,0.1536527634503399
86,0.1663300007734155
87,0.05492593456545773
88,0.16732526808674433
89,0.07314711533902106
90,0.1479559139717827
91,0.07606056835780597
92,0.10125580463355795
93,0.15494240292822314
94,0.1389579457634664
95,0.15754829479018212
96,0.11996514843015625
97,0.13947780663584783
98,0.11706019728492391
99,0.17028069960594466
100,0.19624746653628383
101,0.1324820554555782
102,0.17787076013603975
103,0.1276024482231415
104,0.11633815054803895
105,0.1278754485132886
106,0.1181703074071244
107,0.16032978397836553
108,0.030688804757699372
109,0.07084050338709127
110,0.10495979429077285
111,0.12719908419010043
112,0.07434288492410056
113,0.07732567083850807
114,-0.04524858728437567
115,0.11622146364284541
116,0.06058668956824674
117,0.04477258303942313
118,0.09544223298881879
119,0.004696423717157859
120,0.07342417306650825
121,0.08949377210097427
122,0.10176541733863294
123,0.1644336660345668
124,0.0724763563824038
125,0.07575427147384545
126,0.08933518949512328
127,0.11474521672606595
128,0.11328850801658305
129,0.03553450421210085
130,0.17359846746180688
131,0.0863802450969731
132,0.10744847677139342
133,0.14035734261246718
134,0.11676230174370526
135,0.156017705145003
136,0.09219590052137984
137,0.04797734008000678
138,0.010010192488544628
139,0.045862897770889324
140,0.008482944237086152
141,0.10310539753361289
142,0.05549513967928524
143,0.1403563285922083
144,0.10046087011956643
145,0.05535852473684816
146,0.06718483427851513
147,0.09200363955508042
148,0.13356895275074512
149,0.06278996032334723
150,0.11792082588621366
151,0.13372610796107537
152,0.09466205337553016
153,0.022899616438363284
154,0.11157626792214215
155,0.07785842930683402
156,0.13974832910882642
157,0.17829057855622438
158,0.04616676172451548
