final,best,alpha
-705.65576171875,-933.1741943359375,221
-692.6947021484375,-845.9544067382812,265
-751.8418579101562,-870.8617553710938,215
-760.5623168945312,-790.9743041992188,339
-687.0427856445312,-810.528076171875,344
