t,Z,Z_std
1,0.048037088226658003,0.5012395722865225
2,-0.12932174720274128,0.6654263823002932
3,-0.17758712479471123,0.4599977293593624
4,0.423931111125064,0.505374155477412
5,0.02566170600962364,0.6273704379357485
6,0.11810979194886082,0.4597687143632016
7,0.14979829389803884,0.5286545578838473
8,-0.20856027113836464,0.3160757405842979
9,0.038572786781322844,0.6368757520409526
10,-0.21324780732749132,0.5380736268244911
11,0.003292343282300325,0.6871513154338925
12,-0.1991552248785345,0.6310094512266192
13,0.1078095986063663,0.6819003772157857
14,0.17118004846594495,0.5776150690320632
15,-0.006345527433839671,0.6437582792108564
16,0.289398033195747,0.4670987743389439
17,0.11483083077270546,0.5980453142780159
18,0.3213403260974026,0.5760388782864647
19,0.1186460337306046,0.6171735812111178
20,0.06441474812633405,0.6241915852965267
21,0.11707749543787598,0.8250486104521492
22,-0.05283251384775857,0.561909028760539
23,0.03863988596619624,0.5151711516401322
24,-0.11747631436362975,0.5432722657218166
25,0.20799688732501903,0.6956314325816982
26,0.09546241968462711,0.6448435260172126
27,0.08269448628948245,0.5769614030075153
28,0.10638550278922768,0.6277933151504254
29,0.3175177759522677,0.6149120855548177
30,0.1616107085287825,0.5503487779523796
31,0.047433231840931345,0.46978218626098206
32,0.4231098164685809,0.5715586576612869
33,0.1843272638920189,0.5156735968762922
34,0.14038311771745232,0.5803797150367398
35,-0.14602295714055433,0.5614929594525746
36,0.09161864310102201,0.6928598029813379
37,0.22573966767331552,0.9013900887126942
38,0.28660717408469755,0.4095312527834686
39,0.29586162183274306,0.8559929280492622
40,0.1629162692570862,0.43396586108364354
41,0.5092188027902326,0.713415476497303
42,0.36618285096549247,0.6124320483275689
43,0.26120969462201843,0.7364239263675011
44,0.06155400983070183,0.7181062594146618
45,-0.1201222136885379,0.5640461677165786
46,0.07315020950691778,0.6371120789051274
47,-0.19975574944161942,0.6415824288325868
48,0.40106363025150615,0.573258733376452
49,-0.19063979199101164,0.6255266803013841
50,0.0967129363048382,0.5215683050836555
51,0.19398198461467472,0.7687635053320756
52,0.20748495700521344,0.6019173237326952
53,0.029579078361809286,0.7175831969867281
54,0.26411203980973713,0.8388075839853603
55,0.47108468803062314,0.49073817075053083
56,0.11733954880762361,0.8167712503780208
57,0.49949297890559363,0.7004544656718655
58,0.016346990844830822,0.5217697772515208
59,0.28784160694564936,0.6401546923005157
60,-0.009668336767351704,0.7280408407602194
61,0.33050990175454376,0.6520964365909221
62,0.2064326037544474,0.862268616896546
63,-0.04057172265030497,0.7279099170847892
64,0.4710900109729888,0.39162499918979893
65,0.31695554099179524,0.8402814052631342
66,0.09611613427601488,0.7563678263005257
67,0.09221070514923939,0.49806446173020463
68,0.2165491907861071,0.6447557270096976
69,0.22272279128501987,0.660530484744306
70,0.09285247876583348,0.6034004966363394
71,0.29559485189259627,0.5122498259997009
72,0.21939609778953267,0.6085394896107752
73,0.25137040891315465,0.5860707485921528
74,0.11899896716692153,0.46138361164726116
75,0.17487258488491347,0.7984270797512698
76,-0.07945162647192902,0.7402741253278118
77,0.0947674680851649,0.6948547462561951
78,0.19675015331830006,0.5146789208628573
79,0.1399740337873416,0.5450487319752957
80,0.18453702769771801,0.7055262879217872
81,-0.1869868820147998,0.6226014967139987
82,-0.09765359731140968,0.7546325824538079
83,0.48041941249257053,0.5094034062598493
84,-0.14291331937187765,0.6035683656808241
85,0.2520678376078798,0.8260323754531577
86,0.07084072259988769,0.5304198216608361
87,0.20651405462609188,0.7837623399668544
88,0.4318841631533493,0.7287741660894341
89,0.29505429026736535,0.552964592671881
90,0.06063067744431644,0.5527489284720433
91,-0.009244969933884772,0.7475387428526522
92,0.06971959061482677,0.66635892550455
93,0.2588914292506436,0.9187815220718291
94,0.4454813378389698,0.6826826076174421
95,-0.08877364733495237,0.6665737699217202
96,-0.07520579162055982,0.6592497584268247
97,0.18732049300908052,0.8390426713969853
98,0.12764280339649078,0.6546787211685539
99,0.17476220023669872,0.5717887942954527
100,0.028525698201863105,0.7460313556747856
101,0.19385894809363394,0.5802772117350607
102,-0.06362765227195104,0.45377000769698983
103,0.5562390682502967,0.5439041591826748
104,0.000596618959977091,0.7699044920471597
105,0.5337438107093003,0.6909345135360605
106,0.18498126114153798,0.49083795061429897
107,0.18065428889526686,0.7365313027366192
108,0.09636569489792998,0.4508552054617034
109,-0.22175324705362418,0.5214044190695585
110,-0.07599265861554896,0.6355789807380112
111,0.07362996057332333,0.22061638380888535
112,0.15031107786895842,0.5284035706224106
113,-0.0889221857429093,0.5904005127442137
114,-0.1326845576844712,0.4646959767546225
115,0.24545737549608093,0.47656341568352656
116,0.19354774516564105,0.7681893140545554
117,-0.021710784239341495,0.727806452243362
118,-0.02788261842471757,0.3766372920270027
119,0.09249167655988791,0.5663506279891792
120,0.3213984004520588,0.7048705171119586
121,0.11488127571529608,0.6332519709056617
122,-0.09479764276193825,0.31822827037029844
123,-0.053508195764084866,0.4446442929677839
124,0.26337855363505003,0.7843793762546789
125,0.14288529566868907,0.5403025503835263
126,-0.1452114946140275,0.7264055044996389
127,0.2418125709346787,0.6456543681203823
128,0.14939883441390595,0.7280569672272781
129,-0.09797762851583054,0.694686848027638
130,0.1948165371989552,0.7872762397540067
131,0.08297788884733512,0.6907299964919759
132,-0.03125338533525823,0.6119335756601172
133,0.17215690765449715,0.6112792610448539
